rr,or_minutes,offset_ticks,direction,net1,pf1,tr1,net2,pf2,tr2,net3,pf3,tr3,net4,pf4,tr4,min_net,sum_net,n_pos
1.0,2,1,long,-752.59,0.8071542965496918,241,-786.3300000000003,0.8602390579871143,242,-1511.2500000000002,0.6826691696168722,250,-1353.9500000000003,0.77749493428956,230,-1511.2500000000002,-4404.120000000001,0
1.0,2,1,short,-1257.72,0.6856674430926417,228,-935.1300000000005,0.8324521121536855,237,-1515.0300000000002,0.67514141253865,247,-957.7800000000003,0.8279336152660457,222,-1515.0300000000002,-4665.660000000001,0
1.0,2,2,both,-847.3899999999999,0.8167797482367493,261,-911.0900000000006,0.8610851063180974,266,-1547.2800000000002,0.7154971738738708,272,-1681.2100000000005,0.7641198250692051,254,-1681.2100000000005,-4986.970000000001,0
1.0,2,2,long,-997.6300000000001,0.7667748285229362,237,-1135.1000000000006,0.8130744161766135,240,-1622.5300000000007,0.6802820953401856,247,-1366.4500000000003,0.78502329196211,230,-1622.5300000000007,-5121.710000000001,0
1.0,2,2,short,-1359.0,0.6838615876708348,225,-961.3900000000006,0.8367071364513412,236,-1546.2900000000004,0.6886340525356669,246,-1136.5300000000004,0.8082637573238276,222,-1546.2900000000004,-5003.210000000001,0
1.0,2,3,both,-828.6400000000001,0.8322163142825906,261,-884.8400000000005,0.8712937534909702,266,-1614.7800000000002,0.7215781342676251,272,-1798.7100000000005,0.7601681626906033,254,-1798.7100000000005,-5126.970000000001,0
1.0,2,3,long,-643.9100000000002,0.8515087573650654,234,-1105.1200000000006,0.8251046488625124,238,-1875.0300000000007,0.6586876705396655,247,-1242.7200000000003,0.8091074569319745,228,-1875.0300000000007,-4866.780000000002,0
1.0,2,3,short,-1354.0200000000002,0.6989414189566275,223,-607.6500000000005,0.8980249412214858,235,-1501.3300000000004,0.7103032945998204,242,-951.5500000000004,0.8434976398414501,220,-1501.3300000000004,-4414.550000000001,0
1.0,2,4,both,-884.8900000000003,0.8328810172673312,261,-1588.5900000000006,0.7902804419373111,266,-1417.2800000000007,0.7649536716867422,272,-2018.7100000000005,0.7454694235737497,254,-2018.7100000000005,-5909.470000000002,0
1.0,2,4,long,-816.4300000000004,0.8249912112975557,232,-1610.1300000000003,0.7654564126468512,237,-1733.7900000000006,0.6958204456577234,246,-1171.4900000000002,0.8251528339960122,226,-1733.7900000000006,-5331.840000000002,0
1.0,2,4,short,-1197.7900000000004,0.7415113232710813,221,-865.1600000000004,0.8641300592377616,234,-1458.8400000000006,0.7313958819337938,241,-1010.3100000000004,0.840301532002605,219,-1458.8400000000006,-4532.100000000002,0
1.0,2,8,both,-1179.8900000000006,0.8234006917950001,261,-1719.8400000000001,0.806430046652448,266,-2161.0300000000007,0.720877216095642,272,-2064.96,0.7749634649105124,254,-2161.0300000000007,-7125.720000000001,0
1.0,2,8,long,-710.2900000000006,0.8674248363085244,221,-1381.4800000000005,0.8176273656640758,227,-2307.6600000000008,0.6625562062687813,234,-1577.7900000000002,0.7972005321302564,221,-2307.6600000000008,-5977.220000000002,0
1.0,2,8,short,-1206.6500000000005,0.7756176024843568,210,-878.9800000000005,0.8798199582710088,227,-2222.6800000000007,0.6710756472144697,232,-814.1200000000003,0.8861792482506488,213,-2222.6800000000007,-5122.430000000002,0
1.0,3,0,both,-1229.89,0.7471245697649077,261,-654.8400000000004,0.9054371747254846,266,-1598.5300000000002,0.7076187793564626,272,-1663.71,0.767513582703573,254,-1663.71,-5146.970000000001,0
1.0,3,0,long,-1441.3700000000003,0.6782641886794143,238,-547.6800000000003,0.9090620781493617,232,-2026.2500000000005,0.6178566781018913,250,-840.2200000000003,0.862204801889268,228,-2026.2500000000005,-4855.520000000001,0
1.0,3,0,short,-942.7299999999998,0.7686574855706938,227,-407.65000000000043,0.9309223514021419,235,-1652.5700000000002,0.6671487182999019,243,-767.7700000000003,0.8669977705058892,223,-1652.5700000000002,-3770.7200000000007,0
1.0,3,1,both,-1287.39,0.7530134928506886,261,-1071.0900000000004,0.8568275873131297,266,-1491.0300000000002,0.7405686148278324,272,-1112.4600000000003,0.8450604181638898,254,-1491.0300000000002,-4961.970000000001,0
1.0,3,1,long,-1247.63,0.7311165420987751,237,-1013.9400000000006,0.8445778367756119,231,-2003.7800000000004,0.6397601733080444,247,-1203.9800000000005,0.8153427565305951,227,-2003.7800000000004,-5469.330000000002,0
1.0,3,1,short,-1181.4900000000002,0.7358323085522641,226,-595.1500000000004,0.9054762320728047,235,-1537.5800000000004,0.703665871986463,242,-570.3000000000003,0.9026813398337581,220,-1537.5800000000004,-3884.5200000000013,0
1.0,3,2,both,-1244.8900000000003,0.7732411888676177,261,-922.3400000000004,0.8807750128294123,266,-1377.2800000000007,0.7712562239871383,272,-1268.7100000000003,0.8326226856676968,254,-1377.2800000000007,-4813.220000000001,0
1.0,3,2,long,-1370.1700000000003,0.7232700972877775,233,-1270.2100000000005,0.8157786344347081,229,-1793.7900000000004,0.6859831244310627,246,-1023.9800000000005,0.8468547020562853,227,-1793.7900000000004,-5458.150000000002,0
1.0,3,2,short,-1220.2800000000002,0.7396052724234841,222,-615.1700000000003,0.9062249430645454,233,-1121.3300000000006,0.7863103552759712,242,-442.8100000000004,0.9268251974749648,219,-1220.2800000000002,-3399.5900000000015,0
1.0,3,3,both,-1131.1400000000003,0.8035765140622505,261,-654.8400000000004,0.9173434379899076,266,-1771.0300000000007,0.7298096800030514,272,-1426.2100000000003,0.8211072408287061,254,-1771.0300000000007,-4983.220000000001,0
1.0,3,3,long,-1146.4500000000003,0.7740459850763332,230,-1205.2300000000005,0.830220600664901,227,-2422.5700000000006,0.6142300030414839,243,-1186.4900000000002,0.8308959242224925,226,-2422.5700000000006,-5960.740000000002,0
1.0,3,3,short,-1235.3100000000002,0.7444427664420673,219,-315.20000000000016,0.9523965584161587,230,-1143.8600000000006,0.7920719548173774,239,-201.58000000000044,0.967303468836271,217,-1235.3100000000002,-2895.950000000001,0
1.0,3,4,both,-1084.8900000000006,0.8204543874805128,261,-1194.8400000000001,0.8596144107774172,266,-1884.7800000000007,0.7287988776574699,272,-1437.4600000000003,0.8267320944484022,254,-1884.7800000000007,-5601.970000000001,0
1.0,3,4,long,-1060.2400000000002,0.7955213892140738,226,-1230.2400000000002,0.8327921658704324,226,-2556.3200000000006,0.6131084719546325,243,-1026.5200000000004,0.8558278675861296,223,-2556.3200000000006,-5873.3200000000015,0
1.0,3,4,short,-1432.8300000000006,0.7227925243770315,217,-325.20000000000044,0.9527506200391421,230,-1377.6100000000008,0.7665055924013175,239,-54.09000000000037,0.9914179501133645,216,-1432.8300000000006,-3189.7300000000023,0
1.0,3,8,both,-1312.3900000000006,0.8188525121913852,261,-1648.59,0.8345598086076388,266,-1887.3000000000006,0.7703955940480233,270,-2431.21,0.7570879044022143,254,-2431.21,-7279.490000000001,0
1.0,3,8,long,-501.6100000000007,0.9081754443773228,214,-1019.04,0.8750809061488674,221,-2663.9300000000003,0.6440333259839787,232,-1430.3200000000002,0.8243678657733945,218,-2663.9300000000003,-5614.9000000000015,0
1.0,3,8,short,-1227.9400000000005,0.7838183281016458,206,-477.7800000000002,0.9387573031576304,222,-1826.520000000001,0.7327703503427936,223,-262.89000000000044,0.9640255183587678,211,-1826.520000000001,-3795.130000000002,0
1.0,5,0,both,-1278.6400000000006,0.77537730197685,261,-1614.8400000000004,0.8181969656712856,266,-1393.5300000000004,0.7779603061803304,272,-1062.46,0.8652117872130966,254,-1614.8400000000004,-5349.470000000001,0
1.0,5,0,long,-458.9100000000001,0.9000762095545012,234,-890.2500000000003,0.8785902973156899,225,-1766.3100000000009,0.6968301482628294,244,-775.2400000000002,0.88693158780581,226,-1766.3100000000009,-3890.7100000000014,0
1.0,5,0,short,-1421.5700000000002,0.7022890052356023,218,-525.2300000000005,0.9245644246498806,227,-1510.1200000000003,0.7295485072622098,238,465.9399999999996,1.0786204220064288,219,-1510.1200000000003,-2990.9800000000014,1
1.0,5,1,both,-1181.1400000000003,0.8010255822807415,261,-1749.8400000000004,0.8107489295521476,266,-1746.0300000000007,0.743316191971492,272,-1291.2100000000003,0.8447583505462031,254,-1749.8400000000004,-5968.220000000001,0
1.0,5,1,long,-493.96000000000043,0.8973879589352414,229,-1311.5100000000004,0.8316435774728886,224,-1891.3400000000008,0.6917703963729641,241,-971.5100000000004,0.8646233809666474,224,-1891.3400000000008,-4668.320000000002,0
1.0,5,1,short,-1656.5800000000004,0.6766052314606039,217,-561.4900000000005,0.9222058733879772,226,-1737.6200000000006,0.7103329399134478,238,123.42999999999968,1.0194640947926492,218,-1737.6200000000006,-3832.2600000000016,1
1.0,5,2,both,-1462.3900000000003,0.7711840804115712,261,-1929.8400000000006,0.800401505490448,266,-1741.0300000000007,0.7557230808948157,272,-1317.4600000000003,0.8477127318333404,254,-1929.8400000000006,-6450.720000000002,0
1.0,5,2,long,-752.7300000000004,0.8549328944426889,227,-1327.7600000000004,0.8355983913465539,224,-2080.100000000001,0.6784331791535778,240,-1117.7900000000004,0.84887234615005,221,-2080.100000000001,-5278.380000000003,0
1.0,5,2,short,-1575.3800000000003,0.7002861339198065,212,-512.7600000000006,0.9311515294736874,224,-1545.1400000000006,0.7467490108535672,236,-64.07000000000035,0.9904464534676529,218,-1575.3800000000003,-3697.3500000000017,0
1.0,5,3,both,-602.3900000000007,0.9036940284190469,261,-1732.3400000000004,0.8244380485234205,266,-1773.5300000000007,0.7624133094522674,272,-1699.9600000000003,0.814387086278188,254,-1773.5300000000007,-5808.220000000002,0
1.0,5,3,long,-399.03000000000037,0.9225207032804872,222,-1426.5400000000004,0.8283622135540119,221,-2453.870000000001,0.6450030886656821,238,-1360.3100000000002,0.8237390169729152,219,-2453.870000000001,-5639.750000000002,0
1.0,5,3,short,-1130.4300000000003,0.7789478006828504,207,-122.79000000000099,0.983435230252863,221,-1531.4300000000007,0.7567703212875008,232,-111.59000000000026,0.9839269561610217,216,-1531.4300000000007,-2896.240000000002,0
1.0,5,4,both,-434.8900000000008,0.932430731750518,261,-1668.5900000000004,0.8355445168857154,266,-2336.0300000000007,0.7112347522534774,272,-2198.7100000000005,0.7741400988614091,254,-2336.0300000000007,-6638.220000000003,0
1.0,5,4,long,-336.5500000000003,0.9365168889031413,220,-1397.8100000000002,0.8353842439659183,219,-2973.870000000001,0.5987259599491035,238,-1324.0800000000002,0.8322907021959219,217,-2973.870000000001,-6032.310000000001,0
1.0,5,4,short,-1291.7000000000003,0.7606345029510689,205,89.6899999999996,1.0119264652105984,219,-1765.1800000000005,0.7353045262059286,232,-216.6000000000002,0.9700318774489189,215,-1765.1800000000005,-3183.790000000002,1
1.0,5,8,both,-868.6400000000007,0.8862086401995385,261,-1573.5900000000004,0.8590277547590529,266,-3011.050000000001,0.6880865760326847,270,-1636.2100000000005,0.8456932632440619,254,-3011.050000000001,-7089.490000000003,0
1.0,5,8,long,5.859999999999786,1.0010494344515364,211,-1472.8700000000003,0.8399513617831408,213,-3038.9800000000005,0.6279708054931901,227,-825.4000000000004,0.900525932674833,210,-3038.9800000000005,-5331.390000000002,1
1.0,5,8,short,-1429.3000000000004,0.7631711503920364,195,-220.38000000000034,0.9737298843723925,212,-2929.0500000000006,0.6327196215158176,220,-735.4000000000002,0.9121665038351017,210,-2929.0500000000006,-5314.130000000002,0
1.0,10,0,both,252.59999999999968,1.040717570615003,260,1086.4099999999994,1.110687613982537,266,-2104.7800000000007,0.7390559408481505,272,-1652.4600000000005,0.839953587838309,254,-2104.7800000000007,-2418.2300000000023,2
1.0,10,0,long,392.2399999999994,1.0785826907319147,224,142.11000000000004,1.0174416463951967,211,-2400.1200000000003,0.6641370923842697,238,25.90999999999957,1.0033453063711886,216,-2400.1200000000003,-1839.8600000000013,3
1.0,10,0,short,-1105.5000000000002,0.7868977282584603,200,1692.1199999999994,1.2313494564630383,212,-2332.7200000000003,0.6659171695935242,228,-137.87000000000035,0.9820544159777786,213,-2332.7200000000003,-1883.9700000000014,1
1.0,10,1,both,-114.90000000000055,0.9828216969890878,260,716.4099999999993,1.069655335355034,266,-2311.0300000000007,0.727906366154864,272,-1512.46,0.8568747817578417,254,-2311.0300000000007,-3221.980000000002,1
