rr,or_minutes,offset_ticks,direction,trades,win_rate,net,profit_factor,expectancy,avg_R,max_drawdown,sharpe
1.0,1,8,both,523,48.37476099426386,-3598.020000000001,0.8540049016425372,-6.879579349904399,-0.0408444577690946,-4632.339999999983,-1.142438920191626
1.0,1,8,long,464,46.33620689655172,-2738.8600000000015,0.8723931033775857,-5.902715517241383,-0.07935774153675812,-4721.019999999978,-0.9816267305140596
1.0,1,8,short,475,46.526315789473685,-4533.000000000001,0.8017273731698163,-9.543157894736844,-0.07741467350017502,-5208.759999999984,-1.5988025464042517
1.0,2,0,both,523,50.2868068833652,-1464.020000000002,0.9474883338892893,-2.799273422562145,-0.0021015752883929094,-2326.080000000001,-0.3884116724290066
1.0,2,0,long,454,49.55947136563877,-745.9600000000017,0.9680783414910525,-1.6430837004405325,-0.017503160848398987,-1883.3600000000024,-0.23185677109858432
1.0,2,0,short,459,49.01960784313725,-2552.1600000000017,0.8972298082521868,-5.5602614379085,-0.028380875914619463,-2591.420000000003,-0.7836493373414753
1.0,2,1,both,523,50.47801147227533,-1105.0200000000025,0.960477353396883,-2.112848948374766,0.0018082685618435559,-2042.5800000000006,-0.29084502670245044
1.0,2,1,long,452,49.7787610619469,-440.98000000000155,0.9811252433284766,-0.975619469026552,-0.013155335364293502,-1648.2600000000011,-0.13642165903496964
1.0,2,1,short,459,48.80174291938998,-2771.660000000002,0.8899038327858302,-6.038474945533774,-0.032554444408496135,-2811.920000000002,-0.8443288937348024
1.0,2,2,both,523,50.2868068833652,-1529.5200000000025,0.9462078715898978,-2.924512428298284,-0.0019226393364634965,-2483.080000000001,-0.3994352108290878
1.0,2,2,long,452,49.7787610619469,-450.4800000000015,0.9809017326140815,-0.9966371681415962,-0.0132114778779796,-1663.2600000000011,-0.1382697832777086
1.0,2,2,short,459,48.5838779956427,-3385.660000000002,0.8680267590338248,-7.376165577342053,-0.04077300984649714,-3426.9199999999964,-1.024479530025596
1.0,2,3,both,523,50.2868068833652,-1725.5200000000025,0.9400369747431921,-3.299273422562146,-0.0023580674867714757,-2830.1600000000026,-0.44734992373598903
1.0,2,3,long,452,49.557522123893804,-328.4800000000015,0.9861679352796815,-0.7267256637168175,-0.01761181136643023,-1834.7600000000014,-0.1000413332292381
1.0,2,3,short,458,48.68995633187773,-3378.4200000000023,0.8692253202187824,-7.376462882096075,-0.03482071459402993,-3420.6799999999967,-1.0160982861860455
1.0,2,4,both,523,50.09560229445506,-1834.5200000000025,0.9369421269434468,-3.5076864244741923,-0.00607485978346869,-2840.6600000000026,-0.471947742595049
1.0,2,4,long,452,49.7787610619469,-163.4800000000015,0.9931548147428574,-0.36168141592920683,-0.013291372831690455,-1655.2600000000016,-0.049406198752168715
1.0,2,4,short,458,48.68995633187773,-3391.9200000000023,0.8698813483249515,-7.405938864628826,-0.03473414614150971,-3435.1799999999967,-1.0121518706093982
1.0,2,8,both,523,49.521988527724666,-2368.0200000000023,0.9221157755006189,-4.527762906309755,-0.01726597275868145,-3753.720000000002,-0.5909654697423464
1.0,2,8,long,451,49.889135254988915,-76.74000000000194,0.9968874139414976,-0.17015521064301983,-0.009425154559597266,-2241.7200000000016,-0.02254084540135729
1.0,2,8,short,457,48.57768052516411,-3551.180000000002,0.8684231587215722,-7.770634573304162,-0.03662422830596726,-3795.019999999995,-1.0299784135897392
1.0,3,0,both,523,51.816443594646266,1513.9799999999968,1.0498528432630927,2.8947992351816385,0.0296360393724714,-2199.840000000001,0.35096309044482726
1.0,3,0,long,445,50.112359550561806,691.199999999998,1.027179127436763,1.5532584269662877,-0.006411818972119948,-2185.400000000001,0.1912486306543401
1.0,3,0,short,453,50.11037527593819,-2399.720000000002,0.9133635681623062,-5.297395143487863,-0.004854634490708741,-3275.5400000000027,-0.6589045045034811
1.0,3,1,both,523,52.00764818355641,1464.9799999999968,1.0478193116928136,2.801108986615673,0.032919128036213434,-2647.3399999999942,0.3373826860804863
1.0,3,1,long,443,50.56433408577878,1041.679999999998,1.0410367766228097,2.351422121896158,0.0012881619244088365,-2159.9000000000015,0.28736876621062896
1.0,3,1,short,453,49.22737306843267,-3270.2200000000016,0.8846572752731712,-7.219028697571748,-0.02274227050471566,-4122.039999999997,-0.892384406222562
1.0,3,2,both,523,51.625239005736134,734.4799999999968,1.0234922941897449,1.404359464627145,0.0253327197439414,-2984.9200000000005,0.16793523924512455
1.0,3,2,long,443,50.56433408577878,1036.179999999998,1.0404756863851101,2.339006772009025,0.0011761674345648692,-2181.9000000000015,0.28390167115191217
1.0,3,2,short,453,49.22737306843267,-3791.7200000000007,0.8682479012620227,-8.370242825607066,-0.026727617013685527,-4650.039999999992,-1.02845159766493
1.0,3,3,both,523,51.434034416826,592.4799999999968,1.0187508742791351,1.132848948374755,0.021574043995274593,-3161.4200000000005,0.1345377562972955
