or_minutes,offset_ticks,direction,bias,max_or_points,regime,target,trades,net,pf,win,maxdd
5,0,both,none,0,none,rr1.0,1838,-5164.120000000008,0.947834832188433,50.0,-9296.27999999985
5,0,both,none,0,none,rr1.5,1838,-3199.12000000001,0.9722646458677519,41.403699673558215,-7160.819999999846
5,0,both,none,0,none,rr2.0,1838,-2989.620000000011,0.9761137099963647,36.071817192600655,-10391.0599999999
5,0,both,none,0,none,rr2.5,1838,751.8799999999883,1.005818650761467,33.13384113166485,-7339.519999999928
5,0,both,none,0,none,rr3.0,1838,4640.879999999987,1.0353100632402008,31.82807399347116,-5475.599999999956
5,0,both,none,0,none,atr1.0,1824,11906.239999999989,1.089252869737515,29.87938596491228,-4711.959999999985
5,0,both,none,0,none,atr1.5,1824,12390.23999999999,1.0923197010300414,29.49561403508772,-5393.279999999964
5,0,both,none,0,none,atr2.0,1824,13032.239999999994,1.0971032442109068,29.49561403508772,-5076.279999999965
5,0,both,none,0,none,atr2.5,1824,13918.739999999994,1.1037085573414944,29.49561403508772,-4759.279999999967
5,0,both,none,0,adx,rr1.0,1167,-2539.0800000000027,0.9607771653983626,50.6426735218509,-4631.459999999989
5,0,both,none,0,adx,rr1.5,1167,351.41999999999416,1.0046760583470742,42.50214224507284,-4109.619999999973
5,0,both,none,0,adx,rr2.0,1167,-1861.0800000000058,0.9774843952152346,36.50385604113111,-8648.119999999933
5,0,both,none,0,adx,rr2.5,1167,367.91999999999507,1.0043059529870269,33.59040274207369,-6196.579999999959
5,0,both,none,0,adx,rr3.0,1167,3044.9199999999946,1.0350002471346746,32.305055698371895,-4775.579999999958
5,0,both,none,0,adx,atr1.0,1167,6713.919999999995,1.075549048052648,30.248500428449017,-4803.019999999979
5,0,both,none,0,adx,atr1.5,1167,7576.919999999994,1.0847266544124636,29.9057412167952,-4952.019999999979
5,0,both,none,0,adx,atr2.0,1167,9128.919999999995,1.1020814328248192,29.9057412167952,-4533.519999999979
5,0,both,none,0,adx,atr2.5,1167,9931.919999999995,1.1110607415007994,29.9057412167952,-4469.519999999979
5,0,both,none,130,none,rr1.0,1799,-4242.760000000008,0.9541652856778022,50.08337965536409,-8012.779999999863
5,0,both,none,130,none,rr1.5,1799,-2654.26000000001,0.9754979231585269,41.41189549749861,-6349.419999999873
5,0,both,none,130,none,rr2.0,1799,-3283.760000000011,0.9722054394984829,35.96442468037799,-9615.159999999905
5,0,both,none,130,none,rr2.5,1799,-428.2600000000118,0.9964954873241484,32.9627570872707,-6993.899999999955
5,0,both,none,130,none,rr3.0,1799,3683.2399999999875,1.029604302350909,31.628682601445245,-5227.879999999965
5,0,both,none,130,none,atr1.0,1785,10274.099999999988,1.0812937303631738,29.635854341736696,-4211.859999999998
5,0,both,none,130,none,atr1.5,1785,10497.099999999988,1.0825285104708868,29.2436974789916,-5099.579999999971
5,0,both,none,130,none,atr2.0,1785,10145.599999999988,1.07976500708133,29.2436974789916,-4782.579999999976
5,0,both,none,130,none,atr2.5,1785,10373.599999999988,1.0815575498205021,29.2436974789916,-4465.579999999981
5,0,both,none,130,adx,rr1.0,1140,-593.1000000000031,0.9900519792887944,50.877192982456144,-4038.639999999997
5,0,both,none,130,adx,rr1.5,1140,2030.8999999999937,1.0291212464220396,42.63157894736842,-3341.5599999999977
5,0,both,none,130,adx,rr2.0,1140,-950.1000000000076,0.9876999773185562,36.49122807017544,-7872.219999999938
5,0,both,none,130,adx,rr2.5,1140,582.8999999999933,1.007283434952391,33.50877192982456,-5948.859999999969
5,0,both,none,130,adx,rr3.0,1140,3286.8999999999924,1.0402887740072995,32.19298245614035,-4527.859999999968
5,0,both,none,130,adx,atr1.0,1140,6487.399999999992,1.0777355113751423,30.087719298245613,-3609.399999999987
5,0,both,none,130,adx,atr1.5,1140,6724.899999999992,1.080044763840035,29.736842105263158,-4161.659999999982
5,0,both,none,130,adx,atr2.0,1140,7283.399999999992,1.0866924464233685,29.736842105263158,-3986.6599999999858
5,0,both,none,130,adx,atr2.5,1140,7427.899999999992,1.0884123929467198,29.736842105263158,-3866.9799999999836
5,0,both,none,200,none,rr1.0,1835,-5207.900000000006,0.9471356042451491,49.97275204359673,-8815.039999999879
5,0,both,none,200,none,rr1.5,1835,-3138.4000000000106,0.9726770723166088,41.36239782016349,-6717.339999999869
5,0,both,none,200,none,rr2.0,1835,-2928.9000000000115,0.9765085227486912,36.02179836512261,-9947.579999999909
5,0,both,none,200,none,rr2.5,1835,812.5999999999888,1.006312058346225,33.079019073569484,-6896.03999999994
5,0,both,none,200,none,rr3.0,1835,4701.599999999988,1.03590351137502,31.77111716621253,-5602.1999999999825
5,0,both,none,200,none,atr1.0,1821,11966.95999999999,1.0900328413698337,29.818780889621088,-4915.199999999986
5,0,both,none,200,none,atr1.5,1821,12450.959999999992,1.0931059778402423,29.43437671609006,-5064.199999999992
5,0,both,none,200,none,atr2.0,1821,13092.959999999994,1.097906735193365,29.43437671609006,-4645.699999999993
5,0,both,none,200,none,atr2.5,1821,13979.459999999994,1.1045358183608778,29.43437671609006,-4581.700000000032
5,0,both,none,200,adx,rr1.0,1165,-2095.6000000000045,0.9673854342564996,50.64377682403433,-4150.219999999995
5,0,both,none,200,adx,rr1.5,1165,794.8999999999937,1.0106452502819003,42.48927038626609,-3666.139999999996
5,0,both,none,200,adx,rr2.0,1165,-1417.6000000000063,0.9827492421762533,36.48068669527897,-8204.639999999938
5,0,both,none,200,adx,rr2.5,1165,811.3999999999942,1.0095500102044104,33.562231759656655,-5753.099999999969
5,0,both,none,200,adx,rr3.0,1165,3488.3999999999937,1.0403209307518875,32.27467811158798,-4730.519999999979
5,0,both,none,200,adx,atr1.0,1165,7157.399999999993,1.080977861932825,30.21459227467811,-4803.019999999979
5,0,both,none,200,adx,atr1.5,1165,8020.399999999992,1.0901709767817942,29.871244635193133,-4952.019999999979
5,0,both,none,200,adx,atr2.0,1165,9572.399999999994,1.10761965215526,29.871244635193133,-4533.519999999979
5,0,both,none,200,adx,atr2.5,1165,10375.399999999994,1.1166475428285159,29.871244635193133,-4469.519999999979
5,0,both,vwap_slope,0,none,rr1.0,1665,-1743.6000000000058,0.9800335659620624,50.810810810810814,-6555.419999999856
5,0,both,vwap_slope,0,none,rr1.5,1665,2127.8999999999915,1.0210375644948313,42.28228228228228,-6501.879999999919
5,0,both,vwap_slope,0,none,rr2.0,1665,395.89999999999054,1.0035915089072867,36.75675675675676,-9300.859999999928
5,0,both,vwap_slope,0,none,rr2.5,1665,6062.39999999999,1.053661857009704,34.53453453453454,-7307.359999999961
5,0,both,vwap_slope,0,none,rr3.0,1665,9529.899999999989,1.083109061511816,33.33333333333333,-4834.3
5,0,both,vwap_slope,0,none,atr1.0,1652,20097.019999999993,1.1728694423695125,31.779661016949152,-3508.300000000002
5,0,both,vwap_slope,0,none,atr1.5,1652,21360.51999999999,1.1827838570185838,31.476997578692494,-4504.800000000001
5,0,both,vwap_slope,0,none,atr2.0,1652,21539.519999999993,1.1843155758347141,31.476997578692494,-4187.800000000001
5,0,both,vwap_slope,0,none,atr2.5,1652,23028.019999999993,1.1970528018559983,31.476997578692494,-3870.800000000001
5,0,both,vwap_slope,0,adx,rr1.0,1059,216.8399999999956,1.0038090647449662,51.463644948064214,-2992.9800000000023
5,0,both,vwap_slope,0,adx,rr1.5,1059,2943.339999999994,1.0443142488405555,43.05949008498583,-2680.740000000001
5,0,both,vwap_slope,0,adx,rr2.0,1059,-250.660000000006,0.9965689127562638,36.827195467422094,-5626.59999999996
5,0,both,vwap_slope,0,adx,rr2.5,1059,5288.339999999992,1.070906993382797,34.938621340887636,-4165.59999999999
5,0,both,vwap_slope,0,adx,rr3.0,1059,7711.339999999992,1.1017394555681657,33.711048158640224,-3243.0000000000014
5,0,both,vwap_slope,0,adx,atr1.0,1059,14640.839999999993,1.189506302276275,32.01133144475921,-2553.2200000000003
5,0,both,vwap_slope,0,adx,atr1.5,1059,14940.339999999993,1.1924742974075053,31.728045325779036,-3009.500000000001
5,0,both,vwap_slope,0,adx,atr2.0,1059,16095.839999999993,1.2073604412740018,31.728045325779036,-2834.500000000001
5,0,both,vwap_slope,0,adx,atr2.5,1059,17500.839999999993,1.2254608585240472,31.728045325779036,-2659.000000000001
5,0,both,vwap_slope,130,none,rr1.0,1631,-993.440000000006,0.987845152449469,50.95033721643164,-6344.4999999998645
5,0,both,vwap_slope,130,none,rr1.5,1631,2801.0599999999913,1.0294936591570532,42.36664622930718,-6157.459999999939
5,0,both,vwap_slope,130,none,rr2.0,1631,255.5599999999904,1.002455980990269,36.72593500919682,-9126.439999999953
5,0,both,vwap_slope,130,none,rr2.5,1631,5293.0599999999895,1.0495613871637743,34.45738810545678,-7338.939999999976
5,0,both,vwap_slope,130,none,rr3.0,1631,9270.55999999999,1.0854497537868453,33.231146535867566,-5293.599999999995
5,0,both,vwap_slope,130,none,atr1.0,1618,19027.67999999999,1.1728540770192875,31.64400494437577,-3424.84
5,0,both,vwap_slope,130,none,atr1.5,1618,20066.67999999999,1.1812935205799031,31.334981458590853,-4325.039999999999
5,0,both,vwap_slope,130,none,atr2.0,1618,19252.17999999999,1.1739348756763948,31.334981458590853,-4325.039999999998
5,0,both,vwap_slope,130,none,atr2.5,1618,20082.17999999999,1.181433556179663,31.334981458590853,-4325.039999999998
5,0,both,vwap_slope,130,adx,rr1.0,1035,817.0999999999965,1.0154356961856017,51.59420289855072,-2859.4600000000014
5,0,both,vwap_slope,130,adx,rr1.5,1035,3847.599999999995,1.0622119688998362,43.188405797101446,-2170.780000000001
5,0,both,vwap_slope,130,adx,rr2.0,1035,213.0999999999931,1.0031117456937144,36.811594202898554,-5452.17999999997
5,0,both,vwap_slope,130,adx,rr2.5,1035,5178.599999999993,1.0739712713899756,34.87922705314009,-4561.2199999999975
5,0,both,vwap_slope,130,adx,rr3.0,1035,7781.099999999993,1.1092515389933542,33.6231884057971,-2993.42
5,0,both,vwap_slope,130,adx,atr1.0,1035,14164.599999999995,1.194877326314892,31.88405797101449,-2837.1599999999926
5,0,both,vwap_slope,130,adx,atr1.5,1035,13975.599999999995,1.1913170563161215,31.594202898550726,-3322.919999999999
