rr,or_minutes,offset_ticks,direction,trades,win_rate,net,profit_factor,expectancy,avg_R,max_drawdown,sharpe
1.0,2,3,both,1053,47.863247863247864,-5126.970000000002,0.7958460988338433,-4.868917378917381,-0.08700759986169962,-5109.9599999999,-1.6866399984407587
1.0,2,3,long,947,47.0960929250264,-4866.7800000000025,0.7852140057214126,-5.139155227032737,-0.10692748230111532,-4878.239999999919,-1.7821646777564382
1.0,2,3,short,920,46.84782608695652,-4414.550000000001,0.7967411733396689,-4.79842391304348,-0.10195748612952348,-4775.979999999913,-1.6802635794338865
1.0,2,4,both,1053,47.293447293447294,-5909.470000000002,0.7797496897211031,-5.612032288698957,-0.09536310678273424,-5882.459999999865,-1.8510893193578657
1.0,2,4,long,941,46.86503719447396,-5331.840000000002,0.7771901379022148,-5.666142401700321,-0.10926385261385331,-5295.5999999998785,-1.8693386551540623
1.0,2,4,short,915,47.322404371584696,-4532.100000000002,0.800864979153238,-4.953114754098363,-0.09040240922867473,-4947.4099999999125,-1.6506321262891717
1.0,2,8,both,1053,46.34377967711301,-7125.720000000002,0.7806414473431051,-6.767065527065529,-0.10526789135394914,-7303.569999999862,-1.8735933950929557
1.0,2,8,long,903,46.06866002214839,-5977.220000000003,0.783051883426529,-6.619291251384278,-0.10949799754117139,-6241.609999999912,-1.8357496555552937
1.0,2,8,short,882,47.05215419501133,-5122.430000000002,0.807438881449899,-5.807743764172338,-0.0872756291363064,-5965.439999999915,-1.6156340198847965
1.0,3,0,both,1053,47.57834757834758,-5146.970000000001,0.7891621244978899,-4.887910731244066,-0.09935003116395265,-5607.069999999882,-1.6880263872608683
1.0,3,0,long,948,47.04641350210971,-4855.520000000001,0.7783118624009701,-5.12185654008439,-0.11253832239785269,-5065.8999999999,-1.7806067240327328
1.0,3,0,short,928,47.41379310344828,-3770.720000000001,0.8179615880566982,-4.063275862068966,-0.09993063960085567,-4737.419999999926,-1.435585810259696
1.0,3,1,both,1053,47.95821462488129,-4961.970000000002,0.806330176649648,-4.712222222222224,-0.08914345720578981,-5435.819999999864,-1.5509479757995512
1.0,3,1,long,942,46.92144373673036,-5469.330000000002,0.7647220519438619,-5.806082802547772,-0.11252237730288106,-5445.789999999889,-1.9267169784105256
1.0,3,1,short,923,46.91224268689058,-3884.5200000000013,0.8219547521267235,-4.20858071505959,-0.10453859618825145,-4871.48999999992,-1.4158344883148015
1.0,3,2,both,1053,48.338081671415004,-4813.220000000002,0.820583396018796,-4.5709591642925,-0.07758295895451986,-4979.119999999866,-1.4368883368584968
1.0,3,2,long,935,46.95187165775401,-5458.1500000000015,0.7748756034223907,-5.837593582887702,-0.10864819977512839,-5433.359999999872,-1.847511672021082
1.0,3,2,short,916,47.59825327510917,-3399.590000000002,0.8492100314035803,-3.7113427947598274,-0.08718401050474728,-4385.289999999919,-1.189923395228586
1.0,3,3,both,1053,48.05318138651472,-4983.220000000001,0.8233419407351318,-4.732402659069327,-0.07809297220815353,-4974.639999999881,-1.4235133543424041
