rr,or_minutes,offset_ticks,direction,bias,max_or_points,trades,net,pf,win,maxdd
1.0,15,1,short,none,250,385,-504.4000000000033,0.9864972523354072,50.90909090909091,-6354.779999999973
1.0,15,1,short,vwap,0,221,4352.459999999998,1.2171530807332929,56.10859728506787,-2915.8399999999965
1.0,15,1,short,vwap,90,91,956.6599999999992,1.1745220373613543,56.043956043956044,-1072.3000000000004
1.0,15,1,short,vwap,130,157,3806.319999999999,1.351336183661564,57.961783439490446,-2016.179999999993
1.0,15,1,short,vwap,180,195,2641.699999999998,1.1583764391590343,55.38461538461539,-2499.3799999999756
1.0,15,1,short,vwap,250,219,4730.939999999998,1.24095601312822,56.16438356164384,-2915.8399999999965
1.0,15,1,short,vwap_slope,0,220,6067.199999999998,1.3176660924745922,56.81818181818182,-2525.979999999994
1.0,15,1,short,vwap_slope,90,91,480.6599999999994,1.0825334574214176,52.74725274725275,-897.6000000000001
1.0,15,1,short,vwap_slope,130,157,4505.319999999999,1.4253174785987515,57.961783439490446,-1734.7799999999952
1.0,15,1,short,vwap_slope,180,193,4721.1799999999985,1.3071453293050097,56.476683937823836,-2117.9999999999945
1.0,15,1,short,vwap_slope,250,218,6445.6799999999985,1.344872087088002,56.88073394495413,-2556.7399999999943
1.0,15,2,both,none,0,523,4652.979999999996,1.093655548989329,53.91969407265774,-6254.959999999983
1.0,15,2,both,none,90,224,2003.7399999999984,1.1509183564334662,54.46428571428571,-2349.5999999999913
1.0,15,2,both,none,130,388,6369.3799999999965,1.2291120808855165,55.670103092783506,-1878.879999999992
1.0,15,2,both,none,180,470,1465.1999999999975,1.0353976656674533,53.404255319148945,-3933.5599999999877
1.0,15,2,both,none,250,514,3673.139999999996,1.0764327949739807,53.69649805447471,-5613.219999999983
1.0,15,2,both,vwap,0,470,7525.699999999997,1.1785925322279105,56.17021276595745,-5790.079999999985
1.0,15,2,both,vwap,90,202,3249.519999999998,1.2872468318624124,57.42574257425742,-1840.379999999992
1.0,15,2,both,vwap,130,346,7048.459999999997,1.296611410546019,57.51445086705203,-1335.3199999999852
1.0,15,2,both,vwap,180,421,4060.4599999999973,1.1161695402496161,55.58194774346793,-3717.199999999977
1.0,15,2,both,vwap,250,462,7161.619999999997,1.176768058227457,56.060606060606055,-5148.339999999986
1.0,15,2,both,vwap_slope,0,443,10511.179999999997,1.2775387322418912,56.884875846501124,-4440.8599999999915
1.0,15,2,both,vwap_slope,90,186,1744.3599999999988,1.1569708008178075,53.76344086021505,-1734.6799999999955
1.0,15,2,both,vwap_slope,130,325,7704.499999999997,1.353399274899638,57.53846153846154,-1693.7599999999893
1.0,15,2,both,vwap_slope,180,397,8012.719999999997,1.2604637736938322,56.67506297229219,-2410.5399999999954
1.0,15,2,both,vwap_slope,250,435,10147.099999999995,1.279934517983277,56.7816091954023,-3799.1199999999917
1.0,15,2,long,none,0,398,8639.479999999996,1.267312463141766,56.78391959798995,-1945.359999999997
1.0,15,2,long,none,90,180,3273.7999999999993,1.3535520435778974,57.77777777777777,-824.1999999999989
1.0,15,2,long,none,130,300,4312.499999999997,1.2151602538516801,56.666666666666664,-1525.0800000000004
1.0,15,2,long,none,180,363,5298.3799999999965,1.1939844955336971,56.473829201101935,-2503.7800000000007
1.0,15,2,long,none,250,391,7280.159999999998,1.2340526221033405,56.52173913043478,-2097.5200000000004
1.0,15,2,long,vwap,0,249,3385.739999999998,1.1538681776536797,56.22489959839358,-2753.6199999999917
1.0,15,2,long,vwap,90,111,2285.8600000000006,1.394689495367381,58.55855855855856,-1267.979999999994
1.0,15,2,long,vwap,130,189,3222.6399999999985,1.250488129438247,57.14285714285714,-2113.9599999999937
1.0,15,2,long,vwap,180,226,1633.259999999998,1.0897913631490688,55.75221238938053,-2917.639999999992
1.0,15,2,long,vwap,250,243,2642.1799999999976,1.1270939979354644,55.96707818930041,-2111.879999999992
1.0,15,2,long,vwap_slope,0,223,4652.979999999998,1.2490283410777034,56.95067264573991,-2225.8999999999924
1.0,15,2,long,vwap_slope,90,95,1262.6999999999994,1.240682993031306,54.736842105263165,-1123.0800000000002
