rr,or_minutes,offset_ticks,direction,net1,pf1,tr1,net2,pf2,tr2,min_net,sum_net,n_pos
1.0,5,0,short,-272.56000000000097,0.9804204404395204,219,-3248.7800000000007,0.8241631080152196,222,-3248.7800000000007,-3521.3400000000015,0
1.0,5,1,both,874.5599999999991,1.0545355906837526,256,351.41999999999825,1.0169516707105886,267,351.41999999999825,1225.9799999999973,2
1.0,5,1,long,326.63999999999874,1.025052576356516,214,554.1799999999985,1.033841648102552,218,326.63999999999874,880.8199999999972,2
1.0,5,1,short,-86.06000000000097,0.9938170401396665,219,-3698.2800000000007,0.8034431516445107,222,-3698.2800000000007,-3784.3400000000015,0
1.0,5,2,both,416.55999999999915,1.0254054528776908,256,-71.58000000000175,0.9966036296276614,267,-71.58000000000175,344.9799999999974,1
1.0,5,2,long,324.63999999999874,1.0247012024944686,214,546.6799999999985,1.0331709613923696,218,324.63999999999874,871.3199999999972,2
1.0,5,2,short,-550.060000000001,0.961435508273635,219,-4605.780000000001,0.7623382574217368,222,-4605.780000000001,-5155.840000000002,0
1.0,5,3,both,52.559999999999036,1.003145523553723,256,-68.08000000000175,0.9967894637065093,267,-68.08000000000175,-15.52000000000271,1
1.0,5,3,long,171.13999999999874,1.0128436043143225,214,993.6799999999986,1.060751606095214,218,171.13999999999874,1164.8199999999974,2
1.0,5,3,short,-768.560000000001,0.946934086025663,219,-4852.280000000001,0.7526055979695657,222,-4852.280000000001,-5620.840000000002,0
1.0,5,4,both,12.559999999999036,1.0007451149292315,256,-793.5800000000017,0.9634356601605444,267,-793.5800000000017,-781.0200000000027,1
1.0,5,4,long,-16.360000000001378,0.9987903130397748,214,462.6799999999986,1.0276636783580204,218,-16.360000000001378,446.3199999999972,1
1.0,5,4,short,-575.8200000000014,0.9601664125559298,218,-4871.280000000001,0.7531284144974366,222,-4871.280000000001,-5447.100000000002,0
