or_minutes,offset_ticks,direction,bias,max_or_points,regime,target,trades,net,pf,win,maxdd,seg1,seg2,seg3,seg4,seg5,min_seg,n_pos,min_seg_trades
15,1,both,vwap_slope,130,adx,atr1.5,863,27049.38,1.442408102943283,44.84356894553882,-1890.0399999999972,2361.739999999999,5135.5,3049.4599999999987,6374.619999999999,6681.88,2361.739999999999,5,113
15,1,both,vwap_slope,130,adx,rr3.0,863,24342.38,1.3988951978303794,44.95944380069525,-1890.0399999999977,2322.739999999999,4401.5,3666.4599999999987,5147.619999999999,5908.88,2322.739999999999,5,113
15,0,both,vwap_slope,130,adx,atr1.0,864,27280.639999999992,1.450701842613586,44.907407407407405,-1871.5399999999995,2320.999999999999,4987.499999999999,3286.4599999999987,5659.119999999999,7916.88,2320.999999999999,5,113
15,2,both,vwap_slope,130,none,rr2.5,1348,32525.47999999999,1.3566859674518574,44.36201780415431,-3201.00000000008,2318.6599999999985,4742.979999999998,6172.099999999998,8493.919999999998,10797.82,2318.6599999999985,5,207
15,1,both,vwap_slope,130,adx,atr1.0,863,27017.38,1.444616947242449,45.19119351100811,-1890.0399999999995,2316.739999999999,5112.0,3162.4599999999987,5508.119999999999,7838.88,2316.739999999999,5,113
30,1,both,none,130,none,rr2.0,1370,20741.19999999999,1.2311570020247913,47.153284671532845,-2247.699999999977,2316.2999999999984,4070.099999999997,2945.4199999999987,8969.819999999998,2439.5599999999986,2316.2999999999984,5,156
30,0,both,none,130,none,atr2.5,1356,24195.55999999999,1.2696312528319258,46.46017699115044,-2449.079999999969,2310.1599999999985,4069.7199999999975,3992.0999999999985,9506.199999999999,2987.24,2310.1599999999985,5,149
15,0,both,vwap_slope,130,adx,rr3.0,864,24537.639999999992,1.4036677748034438,44.67592592592592,-1871.5399999999984,2253.499999999999,4401.0,3741.459999999998,5220.119999999999,6016.38,2253.499999999999,5,113
30,0,both,none,130,none,atr1.0,1356,24933.55999999999,1.2785319918639608,46.607669616519175,-2410.079999999969,2237.659999999998,4101.2199999999975,3832.0999999999985,9844.699999999999,3380.24,2237.659999999998,5,149
30,0,both,none,130,none,rr2.5,1370,23368.69999999999,1.260804165241855,46.934306569343065,-2213.959999999988,2235.7999999999984,4295.599999999997,5149.919999999999,8747.819999999998,2939.5599999999995,2235.7999999999984,5,156
60,0,both,vwap_slope,200,adx,rr2.0,691,12974.659999999994,1.2927521909042496,54.41389290882779,-1649.1199999999917,2436.059999999999,2281.999999999999,2214.779999999999,3390.199999999999,2829.84,2214.779999999999,5,84
15,0,both,vwap_slope,130,none,atr2.5,1341,36453.15999999999,1.399064136144282,43.10216256524981,-3131.00000000008,2213.8199999999983,5186.339999999999,5252.7599999999975,9553.559999999998,11810.98,2213.8199999999983,5,198
15,0,both,vwap_slope,130,none,atr1.0,1341,35598.65999999999,1.39183279645083,43.40044742729307,-3131.00000000008,2197.819999999999,5442.839999999999,4986.2599999999975,8717.559999999998,12107.48,2197.819999999999,5,198
30,1,both,none,130,none,rr3.0,1370,22958.69999999999,1.2529259995328976,46.35036496350365,-2490.059999999974,2193.7999999999984,4838.099999999997,4640.419999999999,8133.819999999998,3152.5599999999995,2193.7999999999984,5,156
30,0,both,none,130,none,atr2.0,1356,24629.05999999999,1.274462103951001,46.46017699115044,-2449.079999999969,2193.6599999999985,4830.7199999999975,3992.0999999999985,9518.699999999999,2762.74,2193.6599999999985,5,149
30,0,both,none,130,none,atr1.5,1356,24460.55999999999,1.2725843682795726,46.46017699115044,-2449.079999999969,2167.6599999999985,4965.7199999999975,4066.5999999999985,9327.699999999999,2538.24,2167.6599999999985,5,149
60,0,both,vwap_slope,200,none,rr1.0,1082,17188.319999999992,1.2715957930929864,55.17560073937153,-1856.180000000048,2489.7200000000003,2400.7199999999984,4560.419999999998,5583.879999999999,2153.5799999999986,2153.5799999999986,5,158
60,1,both,vwap_slope,200,adx,rr2.0,691,12615.659999999994,1.2831744586634053,54.26917510853835,-1673.1199999999917,2354.559999999999,2215.499999999999,2146.279999999999,3310.699999999999,2784.84,2146.279999999999,5,84
15,0,long,none,130,none,atr1.0,1251,17272.259999999987,1.2067519437765757,43.884892086330936,-3407.7599999999893,2128.839999999999,4094.2799999999984,3231.279999999998,5350.379999999997,2366.619999999998,2128.839999999999,5,187
15,1,both,vwap_slope,130,none,atr2.5,1340,35801.399999999994,1.38979440564557,43.13432835820896,-3171.50000000008,2123.5599999999986,5222.339999999999,5041.2599999999975,9343.559999999998,11667.98,2123.5599999999986,5,198
15,1,both,vwap_slope,130,none,atr1.0,1340,34994.39999999999,1.3830870856879625,43.43283582089552,-3171.50000000008,2119.5599999999986,5488.339999999998,4780.7599999999975,8518.559999999998,11972.48,2119.5599999999986,5,198
60,1,both,vwap_slope,200,none,rr1.0,1082,17142.819999999992,1.2701704031464467,54.99075785582255,-1871.180000000044,2360.7199999999993,2320.2199999999984,4813.419999999998,5534.379999999999,2114.0799999999986,2114.0799999999986,5,158
15,2,long,none,130,none,atr1.0,1248,16366.47999999999,1.1942487165196058,44.15064102564102,-3307.2599999999893,2320.319999999999,3735.779999999998,3044.279999999998,5125.619999999999,2095.619999999998,2095.619999999998,5,187
15,2,long,none,130,none,rr2.0,1259,14389.33999999999,1.174125695233868,45.67116759332804,-3403.159999999987,2114.1799999999985,3922.399999999998,2094.359999999998,3053.199999999998,3205.199999999998,2094.359999999998,5,195
30,1,both,none,130,none,atr2.5,1356,23255.05999999999,1.2573495203606049,46.312684365781706,-2553.579999999969,2091.6599999999985,3868.2199999999975,3805.5999999999985,9302.699999999999,2884.24,2091.6599999999985,5,149
15,0,long,none,130,none,atr2.0,1251,17272.259999999987,1.2064270609469352,43.72501998401279,-3420.2599999999893,2081.839999999999,3662.2799999999984,4306.779999999998,5025.879999999997,2311.119999999998,2081.839999999999,5,187
15,0,long,none,130,none,atr1.5,1251,17236.759999999987,1.2060027875360662,43.72501998401279,-3420.2599999999893,2081.839999999999,3662.2799999999984,3843.779999999998,5453.879999999997,2311.119999999998,2081.839999999999,5,187
15,0,long,none,130,none,atr2.5,1251,17273.759999999987,1.2064449879924648,43.72501998401279,-3420.2599999999893,2081.839999999999,3662.2799999999984,4308.279999999998,5025.879999999997,2311.119999999998,2081.839999999999,5,187
60,2,both,vwap_slope,200,adx,rr2.0,690,12099.899999999994,1.2705393615665472,54.34782608695652,-1697.1199999999917,2330.2999999999993,2148.999999999999,2077.779999999999,3017.199999999999,2739.84,2077.779999999999,5,84
30,2,both,none,130,none,rr3.0,1369,22222.439999999988,1.2434357878796312,46.38422205989773,-2576.059999999974,2075.0399999999986,4672.599999999998,4403.419999999999,7994.819999999998,3076.5599999999995,2075.0399999999986,5,156
15,1,both,vwap_slope,130,none,rr3.0,1350,32987.99999999999,1.359193337218388,43.48148148148148,-3171.50000000008,2072.6599999999985,4680.979999999998,6012.859999999997,9720.679999999998,10500.82,2072.6599999999985,5,207
60,2,both,vwap_slope,200,none,rr1.0,1081,16129.55999999999,1.251842969361132,54.67160037002776,-1886.1799999999969,2293.959999999999,2063.219999999998,4754.419999999998,4943.379999999999,2074.5799999999986,2063.219999999998,5,158
30,2,both,none,130,none,rr2.0,1369,19653.939999999988,1.2175124748555075,47.114682249817385,-2304.199999999977,2038.5399999999986,3937.0999999999976,2864.4199999999987,8433.819999999998,2380.0599999999986,2038.5399999999986,5,156
60,0,both,vwap_slope,200,adx,rr1.0,691,13161.159999999996,1.3101302809400737,56.87409551374819,-1358.9599999999991,2143.5599999999995,2038.4999999999989,2047.2799999999988,2780.1999999999994,3700.34,2038.4999999999989,5,84
15,2,long,none,130,none,atr2.5,1248,16359.47999999999,1.1938562214183333,43.99038461538461,-3320.7599999999893,2301.819999999999,3297.7799999999984,4106.279999999998,4788.119999999999,2038.1199999999983,2038.1199999999983,5,187
15,2,long,none,130,none,atr2.0,1248,16359.97999999999,1.1938621463077983,43.99038461538461,-3320.7599999999893,2301.819999999999,3297.7799999999984,4106.779999999998,4788.119999999999,2038.1199999999983,2038.1199999999983,5,187
15,2,long,none,130,none,atr1.5,1248,16327.47999999999,1.1934770284925564,43.99038461538461,-3320.7599999999893,2301.819999999999,3297.7799999999984,3644.779999999998,5218.119999999999,2038.1199999999983,2038.1199999999983,5,187
15,0,both,vwap_slope,130,none,atr2.0,1341,35817.65999999999,1.39210711901546,43.10216256524981,-3131.00000000008,2031.8199999999983,5413.839999999999,5244.2599999999975,9276.559999999998,11414.98,2031.8199999999983,5,198
30,1,both,none,130,none,atr1.0,1356,24034.55999999999,1.2666233582977675,46.46017699115044,-2512.579999999969,2029.6599999999983,3905.7199999999975,3654.5999999999985,9652.199999999999,3281.24,2029.6599999999983,5,149
60,0,both,vwap_slope,200,adx,rr1.5,691,13701.159999999994,1.3133492876366957,54.848046309696095,-1826.119999999992,3064.559999999999,2026.9999999999989,2138.279999999999,3071.699999999999,3675.84,2026.9999999999989,5,84
15,1,both,vwap_slope,130,adx,rr2.5,863,24781.88,1.4103651906894237,45.77056778679027,-1944.219999999994,2023.739999999999,4241.999999999999,3918.959999999998,4707.119999999999,7041.38,2023.739999999999,5,113
30,1,both,none,130,none,rr2.5,1370,22246.69999999999,1.2465542124023306,46.78832116788321,-2251.959999999988,2009.7999999999984,4056.599999999997,5021.419999999999,8320.319999999998,2838.5599999999995,2009.7999999999984,5,156
15,1,long,none,130,none,atr1.0,1249,16421.23999999999,1.19516280007283,43.87510008006405,-3449.7599999999893,1995.8199999999988,3915.279999999998,3045.279999999998,5160.879999999997,2231.119999999998,1995.8199999999988,5,187
60,1,both,vwap_slope,200,adx,rr1.0,691,12919.159999999996,1.302840131270511,56.58465991316932,-1362.9599999999991,2038.0599999999993,1993.4999999999989,2012.7799999999988,2748.1999999999994,3683.84,1993.4999999999989,5,84
15,2,both,vwap_slope,130,adx,rr1.5,862,15847.119999999995,1.2746569803455443,49.07192575406032,-1606.92,2002.239999999999,2873.999999999999,1982.6999999999985,2239.6199999999994,4460.88,1982.6999999999985,5,113
30,1,both,none,130,none,atr2.0,1356,23691.05999999999,1.2621744655930498,46.312684365781706,-2553.579999999969,1976.1599999999983,4630.2199999999975,3805.5999999999985,9315.699999999999,2659.74,1976.1599999999983,5,149
15,2,both,vwap_slope,200,adx,atr2.5,965,27011.399999999998,1.3452734753981437,44.55958549222797,-2652.1400000000003,1972.8200000000002,4704.939999999999,2288.8399999999983,5814.219999999999,10327.859999999999,1972.8200000000002,5,161
60,1,both,vwap_slope,200,adx,rr1.5,691,13174.159999999994,1.29973207817784,54.70332850940666,-1850.619999999992,2860.559999999999,1964.9999999999989,2085.779999999999,2910.699999999999,3642.34,1964.9999999999989,5,84
10,2,both,vwap_slope,130,adx,atr2.5,947,25605.219999999998,1.370042335196367,40.65469904963041,-2516.319999999996,2026.9399999999991,1962.1599999999985,4215.759999999998,7601.499999999999,7655.599999999999,1962.1599999999985,5,135
15,0,both,vwap_slope,130,adx,rr2.5,864,24718.139999999992,1.4108867243680143,45.48611111111111,-1925.719999999994,1959.4999999999993,4062.999999999999,4038.959999999998,4749.619999999999,7057.38,1959.4999999999993,5,113
15,2,long,none,130,none,rr3.0,1259,14405.33999999999,1.1702724247213887,44.16203335980937,-3446.2599999999893,2071.1799999999985,3664.899999999998,1954.3599999999976,4472.699999999998,2242.199999999998,1954.3599999999976,5,195
30,1,both,none,130,none,atr1.5,1356,23530.05999999999,1.2603927771012524,46.312684365781706,-2553.579999999969,1951.1599999999983,4768.2199999999975,3881.5999999999985,9126.199999999999,2435.24,1951.1599999999983,5,149
15,0,both,vwap_slope,130,none,rr3.0,1351,33312.759999999995,1.3644877626069385,43.37527757216876,-3131.00000000008,1944.9199999999985,4752.479999999998,6161.859999999997,9813.679999999998,10639.82,1944.9199999999985,5,207
15,2,both,vwap_slope,200,adx,rr2.0,965,17116.399999999994,1.223917011879255,46.32124352331606,-2652.1400000000003,1943.3200000000006,3292.4399999999987,2101.8399999999983,3047.22,5662.359999999999,1943.3200000000006,5,161
15,1,long,none,130,none,atr2.5,1249,16398.73999999999,1.1945878585408445,43.71497197758207,-3462.7599999999893,1943.3199999999986,3480.2799999999984,4114.779999999998,4829.879999999997,2174.619999999998,1943.3199999999986,5,187
15,1,long,none,130,none,atr2.0,1249,16398.23999999999,1.1945819255283523,43.71497197758207,-3462.7599999999893,1943.3199999999986,3480.2799999999984,4114.279999999998,4829.879999999997,2174.619999999998,1943.3199999999986,5,187
15,1,long,none,130,none,atr1.5,1249,16364.23999999999,1.1941784806789075,43.71497197758207,-3462.7599999999893,1943.3199999999986,3480.2799999999984,3651.779999999998,5258.879999999997,2174.619999999998,1943.3199999999986,5,187
15,1,both,vwap_slope,130,none,atr2.0,1340,35168.39999999999,1.3829025003353406,43.13432835820896,-3171.50000000008,1942.5599999999986,5450.339999999999,5033.2599999999975,9067.059999999998,11271.98,1942.5599999999986,5,198
30,2,both,none,130,none,atr2.5,1355,22493.29999999999,1.2475246217302436,46.34686346863469,-2658.079999999969,1940.3999999999985,3666.7199999999975,3619.0999999999985,9210.699999999999,2781.24,1940.3999999999985,5,149
15,0,both,vwap_slope,130,none,atr1.5,1341,35979.15999999999,1.3938751099931228,43.10216256524981,-3131.00000000008,1920.3199999999983,5454.339999999999,5060.2599999999975,10054.559999999998,11062.48,1920.3199999999983,5,198
30,2,both,none,130,none,rr2.5,1369,21798.439999999988,1.240230408469411,46.822498173849525,-2289.959999999988,1906.5399999999981,3890.5999999999976,4917.419999999999,8322.319999999998,2761.5599999999995,1906.5399999999981,5,156
60,2,both,vwap_slope,200,adx,rr1.5,690,12890.899999999994,1.292149147478106,54.78260869565217,-1875.119999999992,2854.3,1902.9999999999989,2033.279999999999,2795.699999999999,3608.84,1902.9999999999989,5,84
30,0,both,vwap_slope,200,none,rr1.5,1316,18063.15999999999,1.1886956599860308,50.0,-3018.299999999996,2887.6799999999985,1891.219999999998,3614.7999999999975,7577.499999999998,2091.959999999998,1891.219999999998,5,221
15,1,long,none,130,none,rr2.0,1260,14241.599999999991,1.17254781848458,45.3968253968254,-3543.159999999987,1879.6799999999985,4037.899999999998,1968.3599999999976,2971.959999999998,3383.699999999998,1879.6799999999985,5,195
30,1,both,none,130,none,rr1.5,1370,19765.69999999999,1.2248831024736604,48.68613138686131,-1817.03999999999,2260.7999999999984,3818.0999999999976,2492.9199999999983,9327.819999999998,1866.0599999999986,1866.0599999999986,5,156
10,0,both,vwap_slope,130,adx,atr2.5,948,26104.48,1.381139712935706,40.18987341772152,-2483.319999999996,1856.9399999999987,2218.6599999999985,4160.519999999999,7788.499999999999,7856.599999999999,1856.9399999999987,5,135
15,2,long,none,130,none,rr2.5,1259,15025.33999999999,1.1788512072570168,44.63860206513105,-3583.7599999999893,1851.179999999999,3948.899999999998,2166.859999999998,3952.199999999999,3106.199999999998,1851.179999999999,5,195
30,2,both,none,130,none,atr1.0,1355,23274.79999999999,1.256748885849181,46.49446494464944,-2615.079999999969,1849.3999999999983,3710.2199999999975,3477.0999999999985,9571.199999999999,3182.24,1849.3999999999983,5,149
15,1,both,vwap_slope,130,none,atr1.5,1340,35336.89999999999,1.3847370754455677,43.13432835820896,-3171.50000000008,1833.0599999999986,5491.839999999999,4849.7599999999975,9847.559999999998,10919.98,1833.0599999999986,5,198
30,2,both,none,130,none,atr2.0,1355,22931.79999999999,1.252350038482286,46.34686346863469,-2658.079999999969,1825.8999999999985,4429.7199999999975,3619.0999999999985,9224.199999999999,2556.74,1825.8999999999985,5,149
15,0,long,none,130,none,rr2.0,1262,14905.119999999988,1.181751802565844,45.32488114104596,-3512.659999999987,1820.6999999999985,4133.399999999998,2064.359999999998,3166.959999999998,3719.699999999998,1820.6999999999985,5,195
60,0,both,vwap_slope,200,adx,atr1.0,691,12010.659999999993,1.2710010920676176,54.41389290882779,-1585.1199999999917,2329.0599999999986,2558.999999999999,1810.779999999999,3290.199999999999,2199.34,1810.779999999999,5,84
15,2,long,vwap_slope,130,none,rr2.5,702,15778.019999999997,1.3516034057664843,46.2962962962963,-2275.859999999997,1844.6199999999992,1808.139999999999,3377.159999999999,4970.039999999999,3778.0599999999995,1808.139999999999,5,106
30,2,both,none,130,none,rr1.5,1369,19602.939999999988,1.2218004371528803,48.72169466764061,-1888.53999999999,2238.539999999998,3723.0999999999976,2400.9199999999983,9432.319999999998,1808.0599999999986,1808.0599999999986,5,156
30,2,both,none,130,none,atr1.5,1355,22778.29999999999,1.250660867509792,46.34686346863469,-2658.079999999969,1801.8999999999985,4570.7199999999975,3696.5999999999985,9036.199999999999,2332.24,1801.8999999999985,5,149
15,2,both,vwap_slope,200,adx,atr2.0,965,25702.399999999998,1.3285411705455197,44.55958549222797,-2652.1400000000003,1792.8199999999993,4704.939999999999,2288.8399999999983,5538.219999999999,9474.859999999999,1792.8199999999993,5,161
15,1,both,vwap_slope,130,none,rr2.5,1350,32418.999999999996,1.3560611785131866,44.14814814814815,-3163.50000000008,1784.1599999999987,5000.979999999998,6179.859999999998,8609.679999999998,10844.32,1784.1599999999987,5,207
