rr,or_minutes,offset_ticks,direction,bias,max_or_points,regime,trades,net,pf,win,maxdd,seg1,seg2,seg3,seg4,seg5,min_seg,n_pos,min_seg_trades
2.0,15,0,both,vwap_slope,130,none,1351,28433.259999999995,1.3184726802378943,44.92968171724648,-2809.00000000008,2502.4199999999987,4293.479999999998,4795.859999999998,7263.1799999999985,9578.32,2502.4199999999987,5,207
3.0,15,2,both,vwap,200,adx,1015,17173.399999999994,1.201079502358265,43.54679802955665,-2652.1400000000003,2967.119999999999,4236.0999999999985,3930.4199999999983,2922.279999999999,2479.459999999998,2479.459999999998,5,171
2.0,15,2,both,vwap,130,none,1434,22934.83999999999,1.2313723527932945,44.14225941422594,-2976.999999999989,2426.5199999999986,3305.7799999999975,4327.479999999998,6844.0999999999985,6030.959999999999,2426.5199999999986,5,221
2.0,15,1,both,vwap,130,adx,909,17092.339999999993,1.2626355906863023,45.654565456545654,-2163.6999999999935,2403.539999999999,3688.6599999999985,3178.2799999999984,3543.679999999999,3922.4799999999996,2403.539999999999,5,123
1.5,30,0,both,none,130,none,1370,20650.69999999999,1.2371054595556574,48.9051094890511,-1798.03999999999,2482.7999999999984,3911.0999999999976,2532.4199999999983,9348.819999999998,2375.5599999999986,2375.5599999999986,5,156
3.0,15,1,both,vwap_slope,130,adx,863,24342.379999999997,1.3988951978303794,44.95944380069525,-1890.0399999999977,2322.739999999999,4401.5,3666.4599999999987,5147.619999999999,5908.88,2322.739999999999,5,113
2.5,15,2,both,vwap_slope,130,none,1348,32525.47999999999,1.3566859674518574,44.362017804154306,-3201.00000000008,2318.6599999999985,4742.979999999998,6172.099999999998,8493.919999999998,10797.82,2318.6599999999985,5,207
2.0,30,1,both,none,130,none,1370,20741.19999999999,1.2311570020247913,47.153284671532845,-2247.699999999977,2316.2999999999984,4070.099999999997,2945.4199999999987,8969.819999999998,2439.5599999999986,2316.2999999999984,5,156
2.0,15,0,both,vwap,130,adx,910,16925.59999999999,1.2611017129824889,45.38461538461539,-2153.6999999999935,2301.2999999999993,3502.1599999999985,3250.7799999999984,3567.679999999999,3935.9799999999996,2301.2999999999993,5,123
3.0,15,1,both,vwap,200,adx,1016,16635.159999999993,1.1950772292005818,43.30708661417323,-2641.6400000000003,2299.119999999999,4308.5999999999985,3796.1799999999985,3005.779999999999,2564.959999999998,2299.119999999999,5,171
2.0,15,2,both,vwap,200,adx,1015,13426.39999999999,1.1613857461181913,45.41871921182266,-2664.86,2271.119999999999,3763.5999999999985,2990.9199999999983,2272.779999999999,2475.959999999998,2271.119999999999,5,171
3.0,15,0,both,vwap_slope,130,adx,864,24537.639999999992,1.4036677748034438,44.675925925925924,-1871.5399999999984,2253.499999999999,4401.0,3741.459999999998,5220.119999999999,6016.38,2253.499999999999,5,113
2.5,30,0,both,none,130,none,1370,23368.69999999999,1.260804165241855,46.934306569343065,-2213.959999999988,2235.7999999999984,4295.599999999997,5149.919999999999,8747.819999999998,2939.5599999999995,2235.7999999999984,5,156
3.0,15,0,both,vwap,200,adx,1017,16884.91999999999,1.1987806804747592,43.067846607669615,-2631.1400000000003,2218.8799999999987,4317.5999999999985,3872.6799999999985,3142.279999999999,2650.459999999998,2218.8799999999987,5,171
2.0,60,0,both,vwap_slope,200,adx,691,12974.659999999994,1.2927521909042496,54.41389290882779,-1649.1199999999917,2436.059999999999,2281.999999999999,2214.779999999999,3390.199999999999,2829.84,2214.779999999999,5,84
3.0,30,1,both,none,130,none,1370,22958.69999999999,1.2529259995328976,46.35036496350365,-2490.059999999974,2193.7999999999984,4838.099999999997,4640.419999999999,8133.819999999998,3152.5599999999995,2193.7999999999984,5,156
1.0,60,0,both,vwap_slope,200,none,1082,17188.319999999992,1.2715957930929864,55.17560073937153,-1856.1800000000476,2489.7200000000003,2400.7199999999984,4560.419999999998,5583.879999999999,2153.5799999999986,2153.5799999999986,5,158
2.0,60,1,both,vwap_slope,200,adx,691,12615.659999999994,1.2831744586634053,54.26917510853835,-1673.1199999999917,2354.559999999999,2215.499999999999,2146.279999999999,3310.699999999999,2784.84,2146.279999999999,5,84
2.0,15,0,both,vwap,130,none,1437,23078.119999999988,1.2347109656986932,43.98051496172582,-2925.499999999989,2142.7799999999984,3258.2799999999975,4255.739999999997,6937.859999999999,6483.459999999999,2142.7799999999984,5,221
1.0,60,1,both,vwap_slope,200,none,1082,17142.819999999992,1.2701704031464467,54.99075785582255,-1871.180000000044,2360.7199999999993,2320.2199999999984,4813.419999999998,5534.379999999999,2114.0799999999986,2114.0799999999986,5,158
2.5,15,2,both,vwap,200,adx,1015,16916.89999999999,1.20022701287511,44.33497536945813,-2652.1400000000003,2112.619999999999,4650.0999999999985,3842.4199999999983,2680.7799999999984,3041.959999999998,2112.619999999999,5,171
3.0,15,2,both,vwap,200,none,1594,21425.939999999988,1.1678397832944662,42.59723964868256,-3101.559999999996,2308.5999999999995,2096.7599999999975,5342.299999999997,7103.979999999998,4574.2999999999965,2096.7599999999975,5,305
2.0,15,2,long,none,130,none,1259,14389.33999999999,1.174125695233868,45.671167593328036,-3403.159999999987,2114.1799999999985,3922.399999999998,2094.359999999998,3053.199999999998,3205.199999999998,2094.359999999998,5,195
2.5,15,2,both,vwap,130,none,1434,26021.83999999999,1.2590388407348299,43.23570432357043,-2585.5400000000736,2086.0199999999986,3816.7799999999975,6098.479999999998,7640.0999999999985,6380.459999999999,2086.0199999999986,5,221
2.0,60,2,both,vwap_slope,200,adx,690,12099.899999999994,1.2705393615665472,54.347826086956516,-1697.1199999999917,2330.2999999999993,2148.999999999999,2077.779999999999,3017.199999999999,2739.84,2077.779999999999,5,84
3.0,30,2,both,none,130,none,1369,22222.439999999988,1.2434357878796312,46.38422205989773,-2576.059999999974,2075.0399999999986,4672.599999999998,4403.419999999999,7994.819999999998,3076.5599999999995,2075.0399999999986,5,156
3.0,15,1,both,vwap_slope,130,none,1350,32987.99999999999,1.359193337218388,43.48148148148148,-3171.50000000008,2072.6599999999985,4680.979999999998,6012.859999999997,9720.679999999998,10500.82,2072.6599999999985,5,207
1.0,60,2,both,vwap_slope,200,none,1081,16129.55999999999,1.251842969361132,54.671600370027754,-1886.1799999999967,2293.959999999999,2063.219999999998,4754.419999999998,4943.379999999999,2074.5799999999986,2063.219999999998,5,158
3.0,15,1,both,vwap,130,none,1436,26560.859999999986,1.2629124850483262,42.409470752089135,-2521.5400000000736,2051.0199999999986,3909.279999999997,6287.739999999997,8416.359999999999,5896.459999999999,2051.0199999999986,5,221
2.0,30,2,both,none,130,none,1369,19653.939999999988,1.2175124748555075,47.114682249817385,-2304.199999999977,2038.5399999999986,3937.0999999999976,2864.4199999999987,8433.819999999998,2380.0599999999986,2038.5399999999986,5,156
1.0,60,0,both,vwap_slope,200,adx,691,13161.159999999996,1.3101302809400737,56.87409551374819,-1358.9599999999991,2143.5599999999995,2038.4999999999989,2047.2799999999988,2780.1999999999994,3700.34,2038.4999999999989,5,84
1.5,60,0,both,vwap_slope,200,adx,691,13701.159999999994,1.3133492876366955,54.848046309696095,-1826.1199999999917,3064.559999999999,2026.9999999999989,2138.279999999999,3071.699999999999,3675.84,2026.9999999999989,5,84
2.5,15,1,both,vwap_slope,130,adx,863,24781.879999999997,1.4103651906894237,45.77056778679027,-1944.219999999994,2023.739999999999,4241.999999999999,3918.959999999998,4707.119999999999,7041.38,2023.739999999999,5,113
2.5,15,1,both,vwap,130,adx,909,20261.839999999993,1.305943184292437,44.554455445544555,-1903.3000000000002,2022.539999999999,4655.159999999998,3892.7799999999984,4653.1799999999985,3874.4799999999996,2022.539999999999,5,123
2.5,30,1,both,none,130,none,1370,22246.69999999999,1.2465542124023306,46.78832116788321,-2251.959999999988,2009.7999999999984,4056.599999999997,5021.419999999999,8320.319999999998,2838.5599999999995,2009.7999999999984,5,156
1.0,60,1,both,vwap_slope,200,adx,691,12919.159999999996,1.3028401312705107,56.58465991316932,-1362.9599999999991,2038.0599999999993,1993.4999999999989,2012.7799999999988,2748.1999999999994,3683.84,1993.4999999999989,5,84
1.5,15,2,both,vwap_slope,130,adx,862,15847.119999999995,1.2746569803455445,49.071925754060324,-1606.92,2002.239999999999,2873.999999999999,1982.6999999999985,2239.6199999999994,4460.88,1982.6999999999985,5,113
1.5,60,1,both,vwap_slope,200,adx,691,13174.159999999994,1.29973207817784,54.70332850940666,-1850.6199999999917,2860.559999999999,1964.9999999999989,2085.779999999999,2910.699999999999,3642.34,1964.9999999999989,5,84
2.5,15,0,both,vwap_slope,130,adx,864,24718.139999999992,1.4108867243680143,45.48611111111111,-1925.719999999994,1959.4999999999993,4062.999999999999,4038.959999999998,4749.619999999999,7057.38,1959.4999999999993,5,113
3.0,15,2,long,none,130,none,1259,14405.33999999999,1.1702724247213887,44.16203335980937,-3446.2599999999893,2071.1799999999985,3664.899999999998,1954.3599999999976,4472.699999999998,2242.199999999998,1954.3599999999976,5,195
2.5,15,0,both,vwap,130,adx,910,20796.59999999999,1.315580830428908,44.395604395604394,-1885.3000000000002,1947.299999999999,4686.659999999998,3940.2799999999984,4692.1799999999985,4358.98,1947.299999999999,5,123
3.0,15,0,both,vwap_slope,130,none,1351,33312.759999999995,1.3644877626069385,43.37527757216876,-3131.00000000008,1944.9199999999985,4752.479999999998,6161.859999999997,9813.679999999998,10639.82,1944.9199999999985,5,207
2.0,15,2,both,vwap_slope,200,adx,965,17116.399999999994,1.223917011879255,46.32124352331606,-2652.1400000000003,1943.3200000000006,3292.4399999999987,2101.8399999999983,3047.22,5662.359999999999,1943.3200000000006,5,161
1.25,60,0,both,vwap_slope,200,adx,691,13526.659999999994,1.3114342313203833,55.7163531114327,-1450.1199999999917,2620.559999999999,2160.999999999999,1933.279999999999,2730.6999999999994,4111.84,1933.279999999999,5,84
2.0,15,1,both,vwap,130,none,1436,22429.35999999999,1.2267007081188053,43.941504178272986,-2943.999999999989,1931.5199999999986,3398.7799999999975,4167.739999999997,6752.859999999999,6178.459999999999,1931.5199999999986,5,221
3.0,15,0,both,vwap,130,none,1437,26904.119999999988,1.2676415417930391,42.31036882393876,-2489.0400000000736,1918.7799999999988,3985.779999999997,6422.239999999997,8580.359999999999,5996.959999999999,1918.7799999999988,5,221
2.5,30,2,both,none,130,none,1369,21798.439999999988,1.240230408469411,46.822498173849525,-2289.959999999988,1906.5399999999981,3890.5999999999976,4917.419999999999,8322.319999999998,2761.5599999999995,1906.5399999999981,5,156
1.5,60,2,both,vwap_slope,200,adx,690,12890.899999999994,1.292149147478106,54.78260869565217,-1875.1199999999917,2854.3,1902.9999999999989,2033.279999999999,2795.699999999999,3608.84,1902.9999999999989,5,84
