rr,or_minutes,offset_ticks,direction,bias,max_or_points,trades,net,pf,win,maxdd,seg1,seg2,seg3,seg4,min_seg,n_pos,min_seg_trades
1.5,15,4,both,vwap_slope,250,435,12957.599999999997,1.3202383647419473,50.804597701149426,-2973.479999999994,2059.3599999999997,5469.799999999999,2340.08,3088.3600000000006,2059.3599999999997,4,105
1.5,15,1,both,vwap_slope,250,435,13108.099999999997,1.328477542762147,51.03448275862069,-2932.979999999994,2054.3599999999997,5566.300000000001,2382.58,3104.8600000000006,2054.3599999999997,4,105
3.0,15,0,both,vwap_slope,0,443,20579.18,1.4710332748600121,47.855530474040634,-3581.980000000043,3276.879999999999,9879.820000000002,2052.58,5369.900000000001,2052.58,4,107
3.0,15,0,both,vwap_slope,250,435,19333.6,1.4595609383661217,47.58620689655172,-3581.980000000043,3515.3600000000006,7705.300000000001,2052.58,6060.3600000000015,2052.58,4,105
1.5,15,2,both,vwap_slope,250,435,13086.599999999997,1.3263156004919192,51.03448275862069,-2946.479999999994,2047.8599999999994,5575.800000000001,2363.58,3099.3600000000006,2047.8599999999994,4,105
3.0,15,1,both,vwap_slope,180,397,18022.719999999998,1.501116080117536,47.3551637279597,-3488.939999999988,3094.08,5778.440000000001,2038.2399999999996,7111.96,2038.2399999999996,4,94
3.0,15,2,both,vwap_slope,180,397,17886.219999999998,1.4946183333397858,47.3551637279597,-3533.939999999988,3057.08,5756.440000000001,1980.7399999999996,7091.96,1980.7399999999996,4,94
2.0,15,0,both,vwap_slope,180,397,13571.719999999998,1.3859993014781584,48.614609571788414,-3121.939999999988,1979.0799999999997,4042.4400000000005,2722.24,4827.959999999999,1979.0799999999997,4,94
2.0,15,1,both,vwap_slope,0,443,14866.679999999998,1.3434108147514372,48.98419864559819,-3622.099999999986,1978.879999999999,6532.320000000002,2980.58,3374.8999999999996,1978.879999999999,4,107
2.0,15,2,both,vwap_slope,0,443,14787.679999999998,1.3399330693438931,48.98419864559819,-3659.099999999986,1956.379999999999,6519.320000000002,2955.58,3356.3999999999996,1956.379999999999,4,107
2.0,15,1,both,vwap_slope,130,325,12546.499999999998,1.494047333093394,48.92307692307693,-3476.999999999989,1953.9999999999993,5102.24,2956.42,2533.84,1953.9999999999993,4,59
2.0,15,2,both,vwap_slope,130,325,12509.499999999998,1.4895541943674362,48.92307692307693,-3510.499999999989,1937.9999999999993,5102.74,2937.42,2531.34,1937.9999999999993,4,59
3.0,15,1,both,vwap_slope,250,435,19108.6,1.451929912856988,47.58620689655172,-3603.980000000043,3476.3600000000006,7679.300000000001,1922.0799999999995,6030.8600000000015,1922.0799999999995,4,105
3.0,15,1,both,vwap_slope,0,443,20352.68,1.4635676938368878,47.855530474040634,-3603.980000000043,3236.879999999999,9856.320000000002,1922.0799999999995,5337.400000000001,1922.0799999999995,4,107
1.25,15,0,both,vwap_slope,180,397,10672.219999999998,1.331714373454445,53.904282115869016,-2248.0399999999954,2115.58,4337.4400000000005,2301.74,1917.4599999999991,1917.4599999999991,4,94
1.25,15,1,both,vwap_slope,180,397,10393.219999999998,1.3213097461790202,53.904282115869016,-2260.0399999999954,1916.5799999999992,4277.4400000000005,2285.24,1913.9599999999991,1913.9599999999991,4,94
1.25,15,0,both,vwap_slope,250,435,12259.099999999995,1.3192911320665277,53.79310344827586,-3179.1199999999917,2696.8600000000006,4923.799999999999,2754.08,1884.3599999999994,1884.3599999999994,4,105
3.0,15,4,both,vwap_slope,180,397,17652.219999999998,1.4834118835904362,47.103274559193956,-3609.439999999988,3007.58,5712.440000000001,1880.2399999999993,7051.96,1880.2399999999993,4,94
1.25,15,1,both,vwap_slope,250,435,11977.599999999995,1.3104312853030835,53.79310344827586,-3192.6199999999917,2499.8600000000006,4862.299999999999,2737.58,1877.8599999999994,1877.8599999999994,4,105
1.25,15,2,both,vwap_slope,250,435,11688.099999999995,1.300372790076475,53.5632183908046,-3206.1199999999917,2195.3599999999997,4880.799999999999,2736.08,1875.8599999999994,1875.8599999999994,4,105
2.0,15,4,both,vwap_slope,250,435,13754.099999999999,1.325508007949968,48.50574712643678,-3836.859999999986,1873.3599999999992,5027.799999999999,2831.08,4021.8600000000015,1873.3599999999992,4,105
1.25,15,4,both,vwap_slope,250,435,11481.099999999995,1.2919582366801727,53.103448275862064,-3234.1199999999917,2217.3600000000006,4918.799999999999,2481.58,1863.3599999999994,1863.3599999999994,4,105
3.0,15,2,both,vwap_slope,250,435,18950.1,1.4459401073827525,47.58620689655172,-3625.980000000043,3437.3600000000006,7653.300000000001,1858.0799999999995,6001.3600000000015,1858.0799999999995,4,105
3.0,15,2,both,vwap_slope,0,443,20192.68,1.4576821464642344,47.855530474040634,-3625.980000000043,3196.879999999999,9832.820000000002,1858.0799999999995,5304.900000000001,1858.0799999999995,4,107
2.0,15,1,both,vwap_slope,180,397,13119.719999999998,1.3711171884104867,48.614609571788414,-3426.939999999988,1836.079999999999,3762.9400000000005,2701.24,4819.459999999999,1836.079999999999,4,94
1.5,15,0,both,vwap_slope,0,443,13302.679999999998,1.321889600075883,51.24153498871332,-3416.3599999999933,1822.379999999999,6658.8200000000015,2401.58,2419.8999999999996,1822.379999999999,4,107
1.5,15,4,both,vwap_slope,0,443,13118.679999999998,1.3116662326974575,51.0158013544018,-3474.3599999999933,1816.879999999999,6575.8200000000015,2340.08,2385.8999999999996,1816.879999999999,4,107
2.0,15,2,both,vwap_slope,180,397,13058.719999999998,1.3673963171239218,48.614609571788414,-3464.439999999988,1816.579999999999,3750.9400000000005,2680.24,4810.959999999999,1816.579999999999,4,94
1.5,15,1,both,vwap_slope,0,443,13278.179999999998,1.3197416480125141,51.24153498871332,-3430.8599999999933,1814.879999999999,6669.3200000000015,2382.58,2411.3999999999996,1814.879999999999,4,107
1.5,15,2,both,vwap_slope,0,443,13253.679999999998,1.317614388514035,51.24153498871332,-3445.3599999999933,1807.379999999999,6679.8200000000015,2363.58,2402.8999999999996,1807.379999999999,4,107
3.0,15,4,both,vwap_slope,0,443,19911.68,1.4473461200772495,47.629796839729124,-3669.980000000043,3141.379999999999,9785.820000000002,1744.5799999999992,5239.900000000001,1744.5799999999992,4,107
3.0,15,4,both,vwap_slope,250,435,18672.1,1.4354403446191502,47.356321839080465,-3669.980000000043,3383.8600000000006,7601.300000000001,1744.5799999999992,5942.3600000000015,1744.5799999999992,4,105
1.5,15,0,both,vwap_slope,180,397,11369.219999999998,1.3395286887081794,50.88161209068011,-2146.8200000000006,1663.579999999999,4540.4400000000005,2336.74,2828.459999999999,1663.579999999999,4,94
1.5,15,4,both,vwap_slope,180,397,11227.219999999998,1.3284874075955257,50.62972292191436,-2178.3200000000006,1662.079999999999,4451.4400000000005,2293.24,2820.459999999999,1662.079999999999,4,94
1.5,15,1,both,vwap_slope,180,397,11355.219999999998,1.3372673998984208,50.88161209068011,-2160.8200000000006,1657.079999999999,4549.4400000000005,2322.24,2826.459999999999,1657.079999999999,4,94
1.5,15,2,both,vwap_slope,180,397,11341.219999999998,1.335030560126199,50.88161209068011,-2174.8200000000006,1650.579999999999,4558.4400000000005,2307.74,2824.459999999999,1650.579999999999,4,94
2.0,15,4,both,vwap_slope,0,443,14274.679999999998,1.3252822556203883,48.75846501128668,-3807.599999999986,1630.879999999999,6493.320000000002,2831.08,3319.3999999999996,1630.879999999999,4,107
1.25,15,4,both,vwap_slope,180,397,9898.219999999998,1.2995771268353153,53.14861460957179,-2343.8200000000006,1630.079999999999,4334.4400000000005,2027.2399999999996,1906.4599999999991,1630.079999999999,4,94
2.0,15,4,both,vwap_slope,130,325,12080.499999999998,1.4677092641317457,48.61538461538461,-3651.999999999989,1625.499999999999,5103.74,2824.92,2526.34,1625.499999999999,4,59
1.25,15,2,both,vwap_slope,180,397,10104.719999999998,1.3093992619528483,53.65239294710328,-2337.8200000000006,1611.079999999999,4296.4400000000005,2283.24,1913.9599999999991,1611.079999999999,4,94
1.5,15,4,both,vwap_slope,130,325,11317.999999999998,1.4627589066165771,51.07692307692307,-1905.9999999999945,1923.9999999999993,5099.74,2688.42,1605.8399999999995,1605.8399999999995,4,59
1.5,15,2,both,vwap_slope,130,325,11393.999999999998,1.4708766471797408,51.38461538461539,-1890.4999999999945,1904.4999999999993,5189.74,2697.92,1601.8399999999995,1601.8399999999995,4,59
1.5,15,1,both,vwap_slope,130,325,11388.999999999998,1.47359605321375,51.38461538461539,-1875.4999999999945,1906.9999999999993,5172.24,2709.92,1599.8399999999995,1599.8399999999995,4,59
1.5,15,0,both,vwap_slope,130,325,11383.999999999998,1.4763494825180912,51.38461538461539,-1860.4999999999945,1909.4999999999993,5154.74,2721.92,1597.8399999999995,1597.8399999999995,4,59
2.0,15,4,both,vwap_slope,180,397,12581.719999999998,1.3505712024787397,48.36272040302267,-3613.939999999988,1497.079999999999,3726.9400000000005,2563.74,4793.959999999999,1497.079999999999,4,94
3.0,30,0,short,none,250,317,7043.919999999998,1.2056322387369525,42.90220820189275,-4090.7599999999948,2348.3599999999997,1460.5399999999997,1459.7599999999993,1775.2599999999993,1459.7599999999993,4,76
1.25,15,4,both,vwap_slope,130,325,10198.499999999996,1.4361781750529259,53.84615384615385,-1631.4199999999928,1861.999999999999,4446.74,2488.92,1400.8399999999995,1400.8399999999995,4,59
3.0,30,0,both,none,250,488,11221.379999999996,1.222254836716262,49.795081967213115,-4232.519999999984,4427.779999999999,2065.4400000000005,1399.199999999999,3328.959999999998,1399.199999999999,4,119
1.25,15,2,both,vwap_slope,130,325,10382.499999999998,1.4501210005020366,54.46153846153846,-1613.9199999999928,1838.499999999999,4406.24,2739.42,1398.3399999999995,1398.3399999999995,4,59
1.25,15,1,both,vwap_slope,130,325,10657.999999999998,1.467737603505267,54.769230769230774,-1604.9199999999928,2141.5,4384.24,2738.92,1393.3399999999995,1393.3399999999995,4,59
1.25,15,0,both,vwap_slope,130,325,10922.499999999998,1.4823194431810254,54.769230769230774,-1595.4199999999928,2337.5,4440.74,2752.42,1391.8399999999995,1391.8399999999995,4,59
3.0,30,1,both,none,250,488,10634.879999999996,1.2097700491934562,49.795081967213115,-4285.019999999984,4355.779999999999,1687.4399999999996,1331.699999999999,3259.959999999998,1331.699999999999,4,119
3.0,15,0,long,vwap_slope,250,217,6614.92,1.3362664869156942,49.76958525345622,-1697.659999999998,1309.5599999999995,1732.0199999999995,2095.0200000000004,1478.3199999999995,1309.5599999999995,4,52
3.0,15,0,long,vwap_slope,180,204,6839.539999999999,1.3987958354518348,50.0,-1591.9199999999983,1309.5599999999995,2055.24,1964.9799999999996,1509.7599999999995,1309.5599999999995,4,48
3.0,15,1,long,vwap_slope,250,217,6511.42,1.3292976616367422,49.76958525345622,-1705.159999999998,1288.5599999999995,1706.5199999999995,2061.5200000000004,1454.8199999999995,1288.5599999999995,4,52
3.0,15,1,long,vwap_slope,180,204,6745.039999999999,1.391096617976537,50.0,-1598.9199999999983,1288.5599999999995,2032.2399999999996,1934.4799999999996,1489.7599999999995,1288.5599999999995,4,48
3.0,15,2,long,vwap_slope,180,204,6650.539999999999,1.38348263916118,50.0,-1605.9199999999983,1267.5599999999995,2009.2399999999996,1903.9799999999996,1469.7599999999995,1267.5599999999995,4,48
3.0,15,2,long,vwap_slope,250,217,6407.92,1.3224003630571255,49.76958525345622,-1712.659999999998,1267.5599999999995,1681.0199999999995,2028.0200000000002,1431.3199999999995,1267.5599999999995,4,52
2.5,15,0,both,vwap,180,421,10203.459999999997,1.2535526333445823,46.080760095011875,-2803.8399999999965,2987.66,4568.219999999999,1265.559999999999,1382.019999999999,1265.559999999999,4,97
3.0,30,2,both,none,250,488,10381.879999999996,1.2039389629676194,49.795081967213115,-4337.519999999984,4300.279999999999,1626.4399999999996,1264.199999999999,3190.959999999998,1264.199999999999,4,119
2.0,30,0,both,none,0,521,12948.459999999997,1.2319278090335428,51.0556621880998,-4416.999999999984,3723.5599999999986,4045.260000000002,1259.7599999999984,3919.8799999999987,1259.7599999999984,4,126
1.25,30,0,both,none,0,521,12779.959999999995,1.2381783585024164,53.93474088291747,-3448.8199999999797,4048.5599999999986,3946.76,1247.7599999999984,3536.8799999999987,1247.7599999999984,4,126
2.5,30,0,both,none,0,521,12015.459999999997,1.2144022092128577,50.67178502879079,-4806.999999999984,3433.5599999999986,4624.760000000002,1237.2599999999984,2719.8799999999987,1237.2599999999984,4,126
1.25,30,1,both,none,0,521,12714.459999999995,1.2360645449971317,53.93474088291747,-3472.3199999999797,4052.5599999999986,3927.76,1230.2599999999984,3503.8799999999987,1230.2599999999984,4,126
3.0,15,4,long,vwap_slope,250,217,6200.92,1.308812294881946,49.30875576036866,-1727.659999999998,1225.5599999999995,1630.0199999999995,1961.0199999999993,1384.3199999999995,1225.5599999999995,4,52
3.0,15,4,long,vwap_slope,180,204,6461.539999999999,1.368499753631651,49.50980392156863,-1619.9199999999983,1225.5599999999995,1963.2399999999996,1842.9799999999996,1429.7599999999995,1225.5599999999995,4,48
2.5,15,1,both,vwap,180,421,9621.959999999995,1.237831889577522,46.080760095011875,-2817.8399999999965,2972.66,4095.7199999999993,1221.059999999999,1332.519999999999,1221.059999999999,4,97
1.25,30,2,both,none,0,521,12565.959999999995,1.2324313626114671,53.93474088291747,-3494.8199999999797,4056.0599999999986,3824.76,1212.2599999999984,3472.8799999999987,1212.2599999999984,4,126
2.0,30,1,both,none,0,521,11765.959999999997,1.209935106529136,51.0556621880998,-4465.999999999984,3257.5599999999986,3878.760000000002,1205.2599999999984,3424.3799999999987,1205.2599999999984,4,126
2.5,15,0,short,vwap_slope,180,193,10365.179999999998,1.5633341847964914,45.59585492227979,-3490.219999999994,1395.0199999999995,2842.7000000000007,1197.7599999999995,4929.700000000001,1197.7599999999995,4,45
1.25,15,0,both,vwap_slope,0,443,12253.179999999997,1.3062188019031118,53.95033860045147,-3818.8599999999915,2458.379999999999,5846.8200000000015,2754.08,1193.899999999999,1193.899999999999,4,107
1.25,15,1,both,vwap_slope,0,443,11968.679999999997,1.2976842239309792,53.95033860045147,-3833.3599999999915,2260.379999999999,5786.3200000000015,2737.58,1184.399999999999,1184.399999999999,4,107
2.5,15,1,short,vwap_slope,180,193,10342.179999999998,1.559076043181413,45.59585492227979,-3515.219999999994,1384.5199999999995,2844.7000000000007,1181.7599999999995,4931.200000000001,1181.7599999999995,4,45
2.0,15,0,both,vwap,250,462,10384.119999999995,1.2244557055272014,47.18614718614719,-4120.339999999986,2822.4400000000005,5131.34,1180.399999999999,1249.939999999999,1180.399999999999,4,109
1.25,15,2,both,vwap_slope,0,443,11676.179999999997,1.2880397269634671,53.72460496613996,-3847.8599999999915,1954.879999999999,5805.8200000000015,2736.08,1179.399999999999,1179.399999999999,4,107
2.5,15,2,both,vwap,180,421,8788.459999999995,1.215354765418207,45.843230403800476,-2831.8399999999965,2271.16,4073.2199999999993,1176.559999999999,1267.519999999999,1176.559999999999,4,97
2.5,30,1,both,none,0,521,11735.459999999997,1.2085963570745257,50.67178502879079,-4860.999999999984,3387.0599999999986,4562.760000000002,1167.7599999999984,2617.8799999999987,1167.7599999999984,4,126
1.25,15,4,both,vwap_slope,0,443,11462.179999999997,1.2798781467483904,53.27313769751692,-3877.8599999999915,1974.879999999999,5844.8200000000015,2481.58,1160.899999999999,1160.899999999999,4,107
2.5,15,2,short,vwap_slope,180,193,10105.679999999998,1.5433833215935306,45.59585492227979,-3540.219999999994,1160.5199999999995,2846.7000000000007,1165.7599999999995,4932.700000000001,1160.5199999999995,4,45
2.0,15,1,both,vwap,250,462,10023.119999999995,1.2155831429464958,47.18614718614719,-4152.839999999986,2813.9400000000005,4842.84,1151.399999999999,1214.939999999999,1151.399999999999,4,109
2.0,30,2,both,none,0,521,10948.459999999997,1.1945988123359228,51.0556621880998,-4514.999999999984,3018.0599999999986,3820.260000000002,1150.7599999999984,2959.3799999999987,1150.7599999999984,4,126
2.5,15,4,short,vwap_slope,180,193,10092.679999999998,1.538083991320435,45.59585492227979,-3575.719999999994,1158.0199999999995,2850.7000000000007,1148.2599999999995,4935.700000000001,1148.2599999999995,4,45
1.25,30,0,long,none,0,365,11672.899999999998,1.3626058890956363,57.534246575342465,-1958.659999999998,1137.3999999999992,6468.9,1726.3999999999992,2340.2000000000007,1137.3999999999992,4,90
1.25,30,0,long,none,250,345,8555.199999999997,1.2879737823756758,56.811594202898554,-1937.4199999999983,1132.1399999999992,3281.3600000000006,1696.6199999999992,2445.08,1132.1399999999992,4,83
3.0,30,4,both,none,250,488,9875.879999999996,1.192418359537567,49.59016393442623,-4442.519999999984,4189.279999999999,1504.4399999999996,1129.199999999999,3052.959999999998,1129.199999999999,4,119
1.25,30,1,long,none,0,365,11590.399999999998,1.3585783585783584,57.534246575342465,-1965.159999999998,1126.3999999999992,6462.4,1688.3999999999992,2313.2000000000007,1126.3999999999992,4,90
1.25,30,1,long,none,250,345,8480.699999999997,1.2842509165329878,56.811594202898554,-1944.4199999999983,1121.6399999999992,3273.3600000000006,1660.6199999999992,2425.08,1121.6399999999992,4,83
2.5,30,0,both,none,250,488,9447.879999999996,1.187722162901513,50.0,-4232.519999999984,3815.779999999999,1119.939999999999,1610.699999999999,2901.459999999998,1119.939999999999,4,119
1.25,30,2,long,none,0,365,11434.399999999998,1.3523187704708408,57.534246575342465,-1971.659999999998,1112.8999999999992,6370.9,1661.3999999999992,2289.2000000000007,1112.8999999999992,4,90
3.0,30,1,short,none,250,317,6597.919999999998,1.1918003345354666,42.90220820189275,-4108.759999999995,2317.8599999999997,1112.0399999999995,1434.2599999999993,1733.7599999999993,1112.0399999999995,4,76
