rr,or_minutes,offset_ticks,direction,trades,win_rate,net,profit_factor,expectancy,avg_R,max_drawdown,sharpe
1.0,2,0,long,275,47.27272727272727,-1197.0000000000002,0.903613875736786,-4.3527272727272734,-0.054996819785043116,-1765.3600000000017,-0.7302012308237494
1.0,2,0,short,279,47.67025089605735,-1457.9600000000003,0.8875901693441192,-5.2256630824372765,-0.05587282756402576,-1735.4400000000016,-0.8712111840288295
1.0,2,1,both,315,49.84126984126984,-357.10000000000014,0.975091410547403,-1.133650793650794,-0.010244416322215025,-1553.5600000000004,-0.18305483322075924
1.0,2,1,long,273,47.61904761904761,-896.0200000000006,0.9273319751636616,-3.282124542124544,-0.04796621717408023,-1531.2600000000004,-0.5445022878304656
1.0,2,1,short,279,47.67025089605735,-1527.9600000000003,0.8837570580636522,-5.476559139784947,-0.05570720904311425,-1631.4800000000023,-0.9043660819870244
1.0,2,2,both,315,49.84126984126984,-357.60000000000014,0.975327585635908,-1.1352380952380956,-0.01011596137290699,-1564.5600000000004,-0.18161538567191096
1.0,2,2,long,273,47.61904761904761,-909.5200000000007,0.9270681478844214,-3.331575091575094,-0.04795445651291123,-1547.2600000000004,-0.547512854499601
1.0,2,2,short,279,47.31182795698925,-1786.4600000000003,0.8668339386132827,-6.4030824372759865,-0.06266966820670032,-1891.9800000000023,-1.047711465034061
1.0,2,3,both,315,49.84126984126984,-556.1000000000001,0.9622584397621352,-1.7653968253968257,-0.010842665375294807,-1843.0600000000004,-0.2801424089807333
1.0,2,3,long,273,46.88644688644688,-1201.0200000000004,0.90583411084889,-4.399340659340661,-0.06243648410734281,-1719.7600000000007,-0.7163944637958969
1.0,2,3,short,278,47.482014388489205,-1901.7200000000003,0.8598537607022787,-6.840719424460432,-0.06003021796991313,-2009.2400000000023,-1.1090156989176458
1.0,2,4,both,315,49.523809523809526,-667.6000000000004,0.9553404786783565,-2.1193650793650805,-0.017017260793183487,-1856.0600000000004,-0.33325820827416835
1.0,2,4,long,273,47.61904761904761,-913.5200000000004,0.9282969344569053,-3.346227106227108,-0.047941010849491,-1412.7600000000007,-0.5397442082554377
1.0,2,4,short,278,47.482014388489205,-1916.2200000000003,0.8602833094179819,-6.892877697841728,-0.0598710838899909,-2025.7400000000023,-1.1070720552778723
1.0,2,8,both,315,48.888888888888886,-877.6000000000005,0.9440436021229764,-2.7860317460317474,-0.02930645947914898,-2333.5600000000013,-0.4226874698135657
1.0,2,8,long,272,47.794117647058826,-861.7800000000001,0.9346546275121169,-3.168308823529412,-0.04128263534026738,-1890.720000000001,-0.492895071260474
1.0,2,8,short,278,47.84172661870504,-1722.7200000000003,0.8784188350871249,-6.196834532374101,-0.052121089151964624,-2036.820000000001,-0.9590337147219135
1.0,3,0,both,315,51.11111111111111,385.8999999999994,1.0236176715754377,1.2250793650793632,0.01638044962779068,-2199.840000000001,0.16866192055428725
1.0,3,0,long,270,48.888888888888886,55.69999999999942,1.0041043038452242,0.20629629629629415,-0.023690990648639783,-1201.8000000000002,0.029289665919345655
1.0,3,0,short,274,50.36496350364964,-653.2600000000004,0.9552028987892451,-2.3841605839416076,-0.0009171459507942175,-2266.7400000000007,-0.3345180122307434
1.0,3,1,both,315,51.42857142857142,325.9000000000001,1.0197410822886328,1.034603174603175,0.021839826190187595,-2647.3399999999942,0.14142970238297037
1.0,3,1,long,268,49.62686567164179,405.67999999999955,1.0301825026597922,1.5137313432835804,-0.01096267207436625,-1090.4000000000008,0.21316619195898515
1.0,3,1,short,274,49.27007299270073,-1334.7600000000007,0.9113137493056644,-4.871386861313871,-0.0233118820974551,-2714.2400000000007,-0.6788655553687798
1.0,3,2,both,315,51.11111111111111,13.399999999999636,1.0007965067827904,0.042539682539681385,0.015579258589323516,-2984.9200000000005,0.005768796309181842
1.0,3,2,long,268,49.62686567164179,400.17999999999944,1.0294826646234547,1.4932089552238785,-0.011021132878544858,-1101.4000000000008,0.20861503142971904
1.0,3,2,short,274,48.9051094890511,-1659.7600000000007,0.8918800607122617,-6.057518248175185,-0.030448152763321794,-3050.7400000000007,-0.8376717685283465
1.0,3,3,both,315,50.79365079365079,-137.10000000000036,0.9919623384846281,-0.43523809523809637,0.009346781607655104,-3161.4200000000005,-0.05856218930166308
1.0,3,3,long,268,48.88059701492538,179.67999999999932,1.013003912463868,0.6704477611940274,-0.02574659835064414,-1268.9000000000008,0.09291487091820308
1.0,3,3,short,274,48.9051094890511,-1666.2600000000007,0.8924341213381018,-6.081240875912411,-0.03032372994320546,-3068.7400000000007,-0.8342701633824434
1.0,3,4,both,315,50.79365079365079,-134.10000000000036,0.9922090145362009,-0.4257142857142869,0.00939983219204406,-3183.42,-0.05684034423665828
1.0,3,4,long,268,48.88059701492538,107.17999999999932,1.0076648135143291,0.39992537313432586,-0.025822931755079416,-1078.4000000000008,0.05498935358224865
1.0,3,4,short,273,49.45054945054945,-1486.020000000001,0.9041099249408923,-5.443296703296706,-0.019419222104480476,-3086.7400000000007,-0.7398954250611012
1.0,3,8,both,315,50.15873015873016,-559.1000000000004,0.9690329598752235,-1.7749206349206361,-0.0029737441310992885,-3733.419999999995,-0.22986823403472334
1.0,3,8,long,268,50.0,681.6799999999993,1.048161105992867,2.543582089552236,-0.0006338576648802931,-1209.8000000000002,0.34000038487448164
1.0,3,8,short,273,48.35164835164835,-2182.5200000000004,0.8668735673409237,-7.9945787545787566,-0.04074907523090732,-3829.239999999999,-1.0542046171179271
1.0,5,0,both,315,52.06349206349207,1783.3999999999992,1.0941096260522296,5.661587301587299,0.03657585851346343,-1901.3599999999994,0.6505482565635677
1.0,5,0,long,262,50.38167938931297,575.1199999999984,1.0374142092286474,2.1951145038167876,0.007083660070993785,-1109.1400000000008,0.2625789997375042
1.0,5,0,short,266,50.75187969924813,243.65999999999815,1.0148054618458275,0.916015037593978,0.009860191875914399,-2886.5000000000005,0.10706819132119832
1.0,5,1,both,315,51.746031746031754,1690.899999999999,1.088343874967476,5.367936507936505,0.029704359339115218,-1914.3599999999994,0.6130298554725184
1.0,5,1,long,262,49.61832061068702,315.1199999999985,1.020160351309092,1.2027480916030477,-0.008100082443522116,-1169.6400000000008,0.14288862126946233
1.0,5,1,short,266,50.37593984962406,218.15999999999815,1.0131507404223716,0.8201503759398426,0.0018182136914035568,-2942.7400000000007,0.09528484601372131
1.0,5,2,both,315,51.11111111111111,1237.899999999999,1.0633944044541497,3.9298412698412664,0.017123990153587117,-1927.3600000000004,0.4456480748897965
1.0,5,2,long,262,49.61832061068702,307.1199999999985,1.0194877053341185,1.1722137404580097,-0.008268631881050474,-1173.6400000000008,0.13834162352248458
1.0,5,2,short,266,49.62406015037594,-242.84000000000196,0.9856779388121725,-0.912932330827075,-0.013012961924206702,-2960.7400000000007,-0.10533868140540528
1.0,5,3,both,315,50.476190476190474,878.899999999999,1.0442393242240628,2.7901587301587267,0.004552630734995583,-2305.36,0.3142570176616809
1.0,5,3,long,262,49.23664122137404,147.61999999999853,1.0092456543169976,0.5634351145038111,-0.015992529345025496,-1177.6400000000008,0.06605240766217838
1.0,5,3,short,266,49.24812030075188,-458.34000000000174,0.9733482968355679,-1.7230827067669239,-0.02039014119837245,-3192.2400000000007,-0.19749507089323673
1.0,5,4,both,315,50.476190476190474,843.8999999999984,1.0421088032796864,2.679047619047614,0.004558424242057373,-2322.36,0.2997881441005486
1.0,5,4,long,262,49.23664122137404,157.6199999999984,1.0097983267874393,0.6016030534351084,-0.016149353148846708,-1365.1400000000008,0.07006678347007497
1.0,5,4,short,265,49.81132075471698,-262.6000000000015,0.9847253826216037,-0.9909433962264208,-0.009149577894631934,-3212.2400000000007,-0.11267915901297443
1.0,5,8,both,315,50.15873015873016,579.8999999999979,1.027897001902134,1.8409523809523745,-0.0037899078171648483,-2390.3600000000006,0.20079599406001217
1.0,5,8,long,261,50.191570881226056,828.3599999999983,1.0512973582194918,3.1737931034482694,0.005558144784458172,-1139.8400000000001,0.36049993497096516
1.0,5,8,short,265,49.056603773584904,-710.1000000000017,0.9604001806835861,-2.6796226415094404,-0.02630818913207113,-3292.2400000000007,-0.2968951290511741
1.0,10,0,both,315,56.507936507936506,4549.399999999997,1.1933579787473683,14.442539682539673,0.12541683628832373,-2410.599999999986,1.244158337304259
1.0,10,0,long,249,55.82329317269076,3981.739999999998,1.2336715591053935,15.990923694779108,0.11133217062325249,-1595.659999999998,1.4472894456655594
1.0,10,0,short,246,55.28455284552846,2410.459999999998,1.12861685893263,9.798617886178855,0.0953083362789376,-2996.3599999999906,0.8653963618334591
1.0,10,1,both,315,56.507936507936506,4555.399999999997,1.1925165600417202,14.461587301587292,0.12449491557818346,-2422.099999999986,1.2402619842148446
1.0,10,1,long,249,55.82329317269076,4000.239999999998,1.233312725279083,16.065220883534128,0.11111244257005028,-1600.659999999998,1.447033494014644
1.0,10,1,short,246,54.87804878048781,2047.459999999998,1.1076073440359395,8.323008130081293,0.08606858362632146,-3010.8599999999906,0.7313963937709832
1.0,10,2,both,315,56.19047619047619,4326.399999999997,1.1807855211122589,13.734603174603166,0.11803262424543773,-2433.599999999986,1.1719194397835335
1.0,10,2,long,249,55.42168674698795,3753.239999999998,1.2158816126412364,15.073253012048184,0.10290943262447344,-1605.659999999998,1.350377147784944
1.0,10,2,short,246,54.47154471544715,1907.459999999998,1.099653725429552,7.753902439024382,0.08191954039755969,-3025.3599999999906,0.6791787685278768
1.0,10,3,both,315,56.19047619047619,4360.899999999997,1.181204947037578,13.844126984126975,0.11789076211540218,-2445.099999999986,1.1757336984265265
