rr,or_minutes,offset_ticks,direction,bias,max_or_points,regime,trades,net,pf,win,maxdd
1.0,15,1,both,none,0,adx,1167,-360.080000000007,0.9960015759174232,52.69922879177378,-6692.999999999967
1.0,15,1,both,none,130,none,1622,13813.719999999987,1.1442577686064337,53.45252774352651,-2531.420000000001
1.0,15,1,both,none,130,adx,1020,7265.699999999993,1.1140011993684955,53.8235294117647,-3004.2399999999725
1.0,15,1,both,none,200,none,1796,5557.459999999987,1.0446746616196598,52.56124721603563,-4101.519999999984
1.0,15,1,both,none,200,adx,1138,1757.3799999999926,1.0211495196835743,52.899824253075565,-4374.099999999964
1.0,15,1,both,vwap,0,none,1633,8242.57999999999,1.0714290418609551,53.214941824862215,-5542.079999999985
1.0,15,1,both,vwap,0,adx,1041,1853.659999999993,1.0235171338646931,53.69836695485111,-5089.639999999992
1.0,15,1,both,vwap,130,none,1436,11497.85999999999,1.136697673091464,53.690807799442894,-2304.4400000000005
1.0,15,1,both,vwap,130,adx,909,7693.339999999994,1.137616641629761,54.78547854785478,-1759.240000000001
1.0,15,1,both,vwap,200,none,1596,8584.959999999988,1.07973767529367,53.258145363408524,-3375.3799999999865
1.0,15,1,both,vwap,200,adx,1016,4479.659999999992,1.0619802705146055,54.03543307086615,-2922.9399999999932
1.0,15,1,both,vwap_slope,0,none,1537,11891.619999999988,1.1119868775663302,53.61093038386468,-3855.3599999999915
1.0,15,1,both,vwap_slope,0,adx,990,5721.899999999992,1.0785036896830191,54.74747474747475,-3855.3599999999915
1.0,15,1,both,vwap_slope,130,none,1350,14122.499999999993,1.1829498155928035,54.074074074074076,-2758.3999999999705
1.0,15,1,both,vwap_slope,130,adx,863,11512.379999999994,1.2262899694660145,56.083429895712634,-1755.1599999999817
1.0,15,1,both,vwap_slope,200,none,1502,12651.019999999991,1.1283933451939596,53.728362183754996,-3421.359999999988
1.0,15,1,both,vwap_slope,200,adx,966,8484.659999999994,1.1277484713232713,55.175983436853,-2448.279999999997
1.0,15,1,long,none,0,none,1424,8408.23999999999,1.0895848826629215,52.94943820224719,-4124.319999999996
1.0,15,1,long,none,0,adx,905,4653.799999999996,1.072617704564002,53.591160220994475,-2999.3000000000006
1.0,15,1,long,none,130,none,1260,5222.599999999993,1.0725086182600208,52.77777777777778,-3900.42
1.0,15,1,long,none,130,adx,789,2706.139999999995,1.0566860526009298,53.48542458808618,-2740.420000000001
1.0,15,1,long,none,200,none,1392,4671.919999999992,1.05223602410859,52.65804597701149,-4982.999999999994
1.0,15,1,long,none,200,adx,882,1416.3199999999943,1.0232724901787957,53.17460317460318,-3340.579999999997
1.0,15,1,long,vwap,0,none,872,5746.719999999994,1.0991143262794942,53.78440366972477,-2742.1199999999917
1.0,15,1,long,vwap,0,adx,536,1722.3599999999963,1.0441743583745997,54.1044776119403,-2237.8399999999974
1.0,15,1,long,vwap,130,none,782,6155.819999999996,1.1396783401480324,53.96419437340153,-2259.599999999999
1.0,15,1,long,vwap,130,adx,475,3351.4999999999973,1.1175125419174232,54.94736842105263,-2025.1199999999997
1.0,15,1,long,vwap,200,none,855,3811.7999999999947,1.069010865979732,53.567251461988306,-2624.4800000000005
